t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.005493,0.005035
0.000050,0.000628,0.004272,0.006256
0.000100,0.001257,0.008545,0.003815
0.000150,0.001885,0.006714,0.004425
0.000200,0.002513,0.008545,0.007019
0.000250,0.003141,0.006104,0.005646
0.000300,0.003770,0.006714,0.005341
0.000350,0.004398,0.007935,0.007172
0.000400,0.005026,0.007324,0.007935
0.000450,0.005654,0.009155,0.007477
0.000500,0.006282,0.007324,0.005341
0.000550,0.006910,0.009766,0.004730
0.000600,0.007538,0.009766,0.002899
0.000650,0.008166,0.012817,0.006104
0.000700,0.008794,0.012817,0.008698
0.000750,0.009421,0.010986,0.006409
0.000800,0.010049,0.012817,0.008392
0.000850,0.010676,0.012207,0.005341
0.000900,0.011304,0.014038,0.002747
0.000950,0.011931,0.014038,0.003510
0.001000,0.012558,0.017090,0.006409
0.001050,0.013185,0.012817,0.007629
0.001100,0.013812,0.020752,0.006104
0.001150,0.014439,0.014648,0.005646
0.001200,0.015065,0.018921,0.007477
0.001250,0.015692,0.017090,0.007019
0.001300,0.016318,0.017700,0.010529
0.001350,0.016944,0.017700,0.008392
0.001400,0.017570,0.017090,0.000916
0.001450,0.018196,0.021362,0.003510
0.001500,0.018822,0.022583,0.006866
0.001550,0.019447,0.021362,0.008240
0.001600,0.020072,0.021362,0.008698
0.001650,0.020697,0.024414,0.009155
0.001700,0.021322,0.021362,0.005341
0.001750,0.021947,0.024414,0.003662
0.001800,0.022571,0.025635,0.002899
0.001850,0.023195,0.025024,0.007477
0.001900,0.023819,0.026855,0.007629
0.001950,0.024443,0.025024,0.010986
0.002000,0.025067,0.028076,0.011444
0.002050,0.025690,0.024414,0.008392
0.002100,0.026313,0.028687,0.003967
0.002150,0.026936,0.027466,0.002289
0.002200,0.027558,0.028076,0.006409
0.002250,0.028180,0.027466,0.007629
0.002300,0.028802,0.027466,0.009308
0.002350,0.029424,0.029907,0.008240
0.002400,0.030045,0.029907,0.005188
0.002450,0.030666,0.032349,0.005646
0.002500,0.031287,0.032349,0.009003
0.002550,0.031907,0.032959,0.005188
0.002600,0.032527,0.033569,0.003662
0.002650,0.033147,0.036621,0.006561
0.002700,0.033767,0.034180,0.007019
0.002750,0.034386,0.036011,0.008850
0.002800,0.035005,0.038452,0.008545
0.002850,0.035623,0.034180,0.007935
0.002900,0.036241,0.037842,0.006409
0.002950,0.036859,0.036011,0.004120
0.003000,0.037476,0.037231,0.009155
0.003050,0.038093,0.039062,0.010223
0.003100,0.038710,0.039673,0.007019
0.003150,0.039326,0.042725,0.005798
0.003200,0.039942,0.042114,0.005951
0.003250,0.040557,0.042114,0.006866
0.003300,0.041173,0.040894,0.009918
0.003350,0.041787,0.043945,0.009308
0.003400,0.042401,0.045776,0.006714
0.003450,0.043015,0.043945,0.010529
0.003500,0.043629,0.045166,0.007172
0.003550,0.044242,0.043945,0.008850
0.003600,0.044854,0.046387,0.005646
0.003650,0.045466,0.046997,0.007324
0.003700,0.046078,0.046387,0.004425
0.003750,0.046689,0.048218,0.004883
0.003800,0.047300,0.046387,0.010529
0.003850,0.047910,0.048218,0.010834
0.003900,0.048520,0.047607,0.006256
0.003950,0.049129,0.051270,0.003662
0.004000,0.049738,0.051270,0.007629
0.004050,0.050346,0.051880,0.004578
0.004100,0.050954,0.053101,0.009460
0.004150,0.051561,0.051880,0.008545
0.004200,0.052168,0.051270,0.009460
0.004250,0.052775,0.051880,0.008545
0.004300,0.053380,0.052490,0.011139
0.004350,0.053986,0.057373,0.010834
0.004400,0.054590,0.056763,0.005646
0.004450,0.055195,0.056152,0.003510
0.004500,0.055798,0.056763,0.004578
0.004550,0.056401,0.057983,0.009155
0.004600,0.057004,0.056152,0.010529
0.004650,0.057606,0.058594,0.008850
0.004700,0.058207,0.058594,0.008850
