t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.006104,0.002899
0.000050,0.184062,0.006104,0.004883
0.000100,0.342274,0.007324,0.153351
0.000150,0.452414,0.014648,0.379028
0.000200,0.499013,0.042725,0.502625
0.000250,0.475528,0.104370,0.379944
0.000300,0.385257,0.186768,0.048676
0.000350,0.240877,0.281372,-0.328674
0.000400,0.062667,0.368042,-0.673065
0.000450,-0.124345,0.411987,-0.810242
0.000500,-0.293893,0.398560,-0.773773
0.000550,-0.422164,0.332031,-0.566254
0.000600,-0.491144,0.211792,-0.266418
0.000650,-0.491144,0.070190,0.025024
0.000700,-0.422164,-0.086670,0.302277
0.000750,-0.293893,-0.230103,0.518036
0.000800,-0.124345,-0.327759,0.701294
0.000850,0.062667,-0.383301,0.796814
0.000900,0.240877,-0.387573,0.756683
0.000950,0.385257,-0.325928,0.599213
0.001000,0.475528,-0.225830,0.355072
0.001050,0.499013,-0.096436,0.090790
0.001100,0.452414,0.059204,-0.194244
0.001150,0.342274,0.195312,-0.429535
0.001200,0.184062,0.315552,-0.643768
0.001250,0.000000,0.388794,-0.755157
0.001300,-0.184062,0.408325,-0.772552
0.001350,-0.342274,0.377197,-0.676727
0.001400,-0.452414,0.285645,-0.445099
0.001450,-0.499013,0.162354,-0.169525
0.001500,-0.475528,0.009766,0.118713
0.001550,-0.385257,-0.133667,0.360107
0.001600,-0.240877,-0.265503,0.589600
0.001650,-0.062667,-0.352783,0.730133
0.001700,0.124345,-0.391235,0.789642
0.001750,0.293893,-0.378418,0.717468
0.001800,0.422164,-0.304565,0.556793
0.001850,0.491144,-0.197754,0.303650
0.001900,0.491144,-0.045166,0.003052
0.001950,0.422164,0.099487,-0.277100
0.002000,0.293893,0.243530,-0.537872
0.002050,0.124345,0.344238,-0.712585
0.002100,-0.062667,0.404663,-0.790100
0.002150,-0.240877,0.407104,-0.733337
0.002200,-0.385257,0.348511,-0.583344
0.002250,-0.475528,0.255127,-0.370941
0.002300,-0.499013,0.109863,-0.078125
0.002350,-0.452414,-0.033569,0.185547
0.002400,-0.342274,-0.182495,0.453033
0.002450,-0.184062,-0.297852,0.643311
0.002500,-0.000000,-0.375366,0.779114
0.002550,0.184062,-0.398560,0.804443
0.002600,0.342274,-0.363159,0.680847
0.002650,0.452414,-0.276489,0.467834
0.002700,0.499013,-0.143433,0.170135
0.002750,0.475528,0.004272,-0.103912
0.002800,0.385257,0.156860,-0.383606
0.002850,0.240877,0.281372,-0.599365
0.002900,0.062667,0.375366,-0.744019
0.002950,-0.124345,0.412598,-0.790253
0.003000,-0.293893,0.393066,-0.711670
0.003050,-0.422164,0.322876,-0.526428
0.003100,-0.491144,0.200806,-0.276489
0.003150,-0.491144,0.061646,0.013885
0.003200,-0.422164,-0.095825,0.289001
0.003250,-0.293893,-0.224609,0.525208
0.003300,-0.124345,-0.334473,0.697479
0.003350,0.062667,-0.390625,0.800476
0.003400,0.240877,-0.391846,0.757751
0.003450,0.385257,-0.336914,0.615540
0.003500,0.475528,-0.230103,0.377960
0.003550,0.499013,-0.097046,0.092468
0.003600,0.452414,0.061035,-0.182953
0.003650,0.342274,0.197144,-0.451202
0.003700,0.184062,0.319824,-0.656738
0.003750,0.000000,0.389404,-0.773468
0.003800,-0.184062,0.412598,-0.774536
0.003850,-0.342274,0.376587,-0.664368
0.003900,-0.452414,0.284424,-0.430603
0.003950,-0.499013,0.159912,-0.175018
0.004000,-0.475528,0.006714,0.094910
0.004050,-0.385257,-0.135498,0.364685
0.004100,-0.240877,-0.269775,0.581055
0.004150,-0.062667,-0.353394,0.753937
0.004200,0.124345,-0.396729,0.798798
0.004250,0.293893,-0.380859,0.733948
0.004300,0.422164,-0.306396,0.549927
0.004350,0.491144,-0.190430,0.280609
0.004400,0.491144,-0.043945,0.004425
0.004450,0.422164,0.105591,-0.283051
0.004500,0.293893,0.245972,-0.514679
0.004550,0.124345,0.345459,-0.709839
0.004600,-0.062667,0.405884,-0.777893
0.004650,-0.240877,0.407104,-0.753174
0.004700,-0.385257,0.350952,-0.601349
0.004750,-0.475528,0.248413,-0.363617
0.004800,-0.499013,0.120239,-0.094452
0.004850,-0.452414,-0.037842,0.194855
0.004900,-0.342274,-0.186768,0.435181
0.004950,-0.184062,-0.297852,0.655365
0.005000,-0.000000,-0.372314,0.774689
0.005050,0.184062,-0.396118,0.797729
0.005100,0.342274,-0.364990,0.704041
0.005150,0.452414,-0.271606,0.467529
0.005200,0.499013,-0.153198,0.188141
0.005250,0.475528,0.005493,-0.112915
0.005300,0.385257,0.147095,-0.367432
0.005350,0.240877,0.281372,-0.600891
0.005400,0.062667,0.369263,-0.734406
0.005450,-0.124345,0.410767,-0.790558
0.005500,-0.293893,0.399170,-0.707092
0.005550,-0.422164,0.321655,-0.524750
0.005600,-0.491144,0.212402,-0.273590
0.005650,-0.491144,0.064087,0.011597
0.005700,-0.422164,-0.078125,0.269012
0.005750,-0.293893,-0.222168,0.517731
0.005800,-0.124345,-0.324707,0.711365
0.005850,0.062667,-0.388184,0.809937
0.005900,0.240877,-0.394897,0.763092
0.005950,0.385257,-0.335693,0.611115
0.006000,0.475528,-0.239258,0.373993
0.006050,0.499013,-0.095825,0.112762
0.006100,0.452414,0.044556,-0.174713
0.006150,0.342274,0.197754,-0.449219
0.006200,0.184062,0.308838,-0.643616
0.006250,-0.000000,0.389404,-0.773315
0.006300,-0.184062,0.410767,-0.797577
0.006350,-0.342274,0.375366,-0.668945
0.006400,-0.452414,0.291138,-0.442200
0.006450,-0.499013,0.158691,-0.164490
0.006500,-0.475528,0.018311,0.103912
0.006550,-0.385257,-0.137939,0.347900
0.006600,-0.240877,-0.261230,0.589905
0.006650,-0.062667,-0.353394,0.750580
0.006700,0.124345,-0.394287,0.787354
0.006750,0.293893,-0.377808,0.737305
0.006800,0.422164,-0.314331,0.567780
0.006850,0.491144,-0.192261,0.287018
0.006900,0.491144,-0.056152,0.005035
0.006950,0.422164,0.108643,-0.293579
0.007000,0.293893,0.237427,-0.537262
0.007050,0.124345,0.347900,-0.703278
0.007100,-0.062667,0.402832,-0.795288
