t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.006104,0.006409
0.000050,0.267913,0.008545,0.002136
0.000100,0.452414,0.004272,0.216522
0.000150,0.496057,0.018921,0.531006
0.000200,0.385257,0.056763,0.579071
0.000250,0.154508,0.128174,0.195160
0.000300,-0.124345,0.231934,-0.419769
0.000350,-0.364484,0.308838,-1.072540
0.000400,-0.491144,0.330811,-1.267242
0.000450,-0.464888,0.264893,-0.948639
0.000500,-0.293893,0.118408,-0.296631
0.000550,-0.031395,-0.052490,0.548553
0.000600,0.240877,-0.224609,1.233063
0.000650,0.438153,-0.308228,1.524658
0.000700,0.499013,-0.303955,1.314392
0.000750,0.404508,-0.196533,0.657196
0.000800,0.184062,-0.018311,-0.193329
0.000850,-0.093691,0.161743,-0.963745
0.000900,-0.342274,0.303345,-1.461792
0.000950,-0.484292,0.346069,-1.472015
0.001000,-0.475528,0.281982,-1.015167
0.001050,-0.318712,0.140381,-0.240326
0.001100,-0.062667,-0.051880,0.518341
0.001150,0.212890,-0.213623,1.209259
0.001200,0.422164,-0.314941,1.492157
0.001250,0.500000,-0.313721,1.312866
0.001300,0.422164,-0.208740,0.733490
0.001350,0.212890,-0.043945,-0.087585
0.001400,-0.062667,0.149536,-0.900269
0.001450,-0.318712,0.290527,-1.420746
0.001500,-0.475528,0.345459,-1.485138
0.001550,-0.484292,0.300293,-1.060791
0.001600,-0.342274,0.153809,-0.369415
0.001650,-0.093691,-0.022583,0.472260
0.001700,0.184062,-0.200195,1.111145
0.001750,0.404508,-0.308838,1.499481
0.001800,0.499013,-0.316772,1.371765
0.001850,0.438153,-0.230713,0.794067
0.001900,0.240877,-0.057983,0.046082
0.001950,-0.031395,0.120850,-0.797882
0.002000,-0.293893,0.271606,-1.350708
0.002050,-0.464888,0.343628,-1.512451
0.002100,-0.491144,0.305176,-1.153412
0.002150,-0.364484,0.180054,-0.421143
0.002200,-0.124345,-0.009766,0.357208
0.002250,0.154508,-0.177612,1.080170
0.002300,0.385257,-0.295410,1.455231
0.002350,0.496057,-0.321655,1.396332
0.002400,0.452414,-0.239868,0.892792
0.002450,0.267913,-0.084839,0.097809
0.002500,0.000000,0.111694,-0.667572
0.002550,-0.267913,0.260620,-1.330261
0.002600,-0.452414,0.339355,-1.537170
0.002650,-0.496057,0.313721,-1.195374
0.002700,-0.385257,0.201416,-0.528717
0.002750,-0.154508,0.014648,0.310822
0.002800,0.124345,-0.158081,1.013641
0.002850,0.364484,-0.291748,1.461792
0.002900,0.491144,-0.324707,1.425781
0.002950,0.464888,-0.255737,0.922852
0.003000,0.293893,-0.109253,0.207520
0.003050,0.031395,0.081787,-0.632324
0.003100,-0.240877,0.242310,-1.243896
0.003150,-0.438153,0.337524,-1.516418
0.003200,-0.499013,0.327759,-1.260071
0.003250,-0.404508,0.216064,-0.593262
0.003300,-0.184062,0.045776,0.171661
0.003350,0.093691,-0.139771,0.939789
0.003400,0.342274,-0.274048,1.396027
0.003450,0.484292,-0.322876,1.463318
0.003500,0.475528,-0.276489,1.057434
0.003550,0.318712,-0.126953,0.286560
0.003600,0.062667,0.051880,-0.500793
0.003650,-0.212890,0.231934,-1.232300
0.003700,-0.422164,0.330200,-1.516418
