t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.007935,0.006561
0.000050,0.021984,0.003052,0.005798
0.000100,0.043926,0.006714,0.027618
0.000150,0.065782,0.009155,0.056305
0.000200,0.087512,0.011597,0.075531
0.000250,0.109072,0.020142,0.072174
0.000300,0.130421,0.031128,0.062561
0.000350,0.151518,0.047607,0.043182
0.000400,0.172321,0.067749,0.022736
0.000450,0.192792,0.089722,0.010071
0.000500,0.212890,0.108643,0.001526
0.000550,0.232576,0.133057,0.004730
0.000600,0.251812,0.147095,0.010376
0.000650,0.270561,0.171509,0.015259
0.000700,0.288786,0.187988,0.011139
0.000750,0.306454,0.209961,0.009766
0.000800,0.323528,0.227051,0.008850
0.000850,0.339977,0.247192,0.007019
0.000900,0.355768,0.264282,0.007935
0.000950,0.370871,0.280762,0.006866
0.001000,0.385257,0.302124,0.002747
0.001050,0.398897,0.314941,0.006256
0.001100,0.411766,0.335083,0.007782
0.001150,0.423839,0.349731,0.007019
0.001200,0.435092,0.366211,0.004272
0.001250,0.445503,0.379028,0.002136
0.001300,0.455053,0.390625,0.001831
0.001350,0.463723,0.407104,0.003662
0.001400,0.471495,0.416260,0.003052
0.001450,0.478356,0.428467,0.004883
0.001500,0.484292,0.436401,-0.003510
0.001550,0.489290,0.446777,-0.001373
0.001600,0.493343,0.457153,-0.000305
0.001650,0.496441,0.463257,0.002136
0.001700,0.498579,0.472412,0.003510
0.001750,0.499753,0.476685,-0.001678
0.001800,0.499961,0.483398,-0.004425
0.001850,0.499201,0.488281,-0.000763
0.001900,0.497476,0.490112,0.003052
0.001950,0.494788,0.493164,-0.001526
0.002000,0.491144,0.493774,-0.006104
0.002050,0.486549,0.494995,-0.003052
0.002100,0.481014,0.493774,-0.002441
0.002150,0.474548,0.494385,-0.004578
0.002200,0.467164,0.488281,-0.005798
0.002250,0.458877,0.487061,-0.001984
0.002300,0.449703,0.482788,-0.002136
0.002350,0.439658,0.477295,-0.005951
0.002400,0.428763,0.474243,-0.004578
0.002450,0.417039,0.464478,-0.006256
0.002500,0.404508,0.458984,-0.008087
0.002550,0.391195,0.448608,-0.007629
0.002600,0.377126,0.441895,-0.005341
0.002650,0.362327,0.429687,-0.006256
0.002700,0.346827,0.416870,-0.004272
0.002750,0.330656,0.405884,-0.001373
0.002800,0.313846,0.393066,-0.007172
0.002850,0.296428,0.377808,-0.002594
0.002900,0.278438,0.364990,-0.004578
0.002950,0.259909,0.350342,-0.001678
0.003000,0.240877,0.333252,-0.006409
0.003050,0.221379,0.321045,-0.008698
0.003100,0.201453,0.301514,-0.008392
0.003150,0.181138,0.286865,-0.003967
0.003200,0.160472,0.266724,-0.000916
0.003250,0.139496,0.250244,-0.002136
0.003300,0.118249,0.228271,-0.002594
0.003350,0.096775,0.209351,-0.001526
0.003400,0.075113,0.189819,-0.003815
0.003450,0.053306,0.170288,-0.002747
0.003500,0.031395,0.149536,-0.004120
0.003550,0.009424,0.128784,-0.006104
0.003600,-0.012565,0.108032,-0.004425
0.003650,-0.034530,0.089722,-0.005493
0.003700,-0.056428,0.064697,-0.002441
0.003750,-0.078217,0.045166,0.001068
0.003800,-0.099855,0.022583,-0.000305
0.003850,-0.121300,0.003052,-0.004883
0.003900,-0.142510,-0.021362,-0.002441
0.003950,-0.163444,-0.039062,-0.004730
0.004000,-0.184062,-0.062256,-0.004272
0.004050,-0.204325,-0.083008,-0.003967
0.004100,-0.224192,-0.104370,0.000916
0.004150,-0.243625,-0.125122,0.000610
0.004200,-0.262587,-0.146484,0.001678
0.004250,-0.281042,-0.164795,0.005035
0.004300,-0.298952,-0.186768,0.002136
0.004350,-0.316285,-0.203247,0.002136
0.004400,-0.333006,-0.225220,0.000763
0.004450,-0.349083,-0.241699,0.002136
0.004500,-0.364484,-0.263062,0.004272
0.004550,-0.379181,-0.278320,0.004120
0.004600,-0.393144,-0.297852,0.007324
0.004650,-0.406347,-0.310059,0.006104
0.004700,-0.418764,-0.328979,0.004425
0.004750,-0.430371,-0.341187,0.007782
0.004800,-0.441146,-0.358276,0.008087
0.004850,-0.451067,-0.374146,0.007477
0.004900,-0.460116,-0.385742,0.010376
0.004950,-0.468275,-0.396729,0.008392
0.005000,-0.475528,-0.408325,0.008698
0.005050,-0.481862,-0.422363,0.009460
0.005100,-0.487263,-0.430298,0.007935
0.005150,-0.491723,-0.439453,0.008392
0.005200,-0.495231,-0.451050,0.010071
0.005250,-0.497781,-0.455933,0.012512
0.005300,-0.499368,-0.463867,0.013733
0.005350,-0.499990,-0.466919,0.012360
0.005400,-0.499645,-0.472412,0.011292
0.005450,-0.498333,-0.476685,0.012665
0.005500,-0.496057,-0.479126,0.015259
0.005550,-0.492822,-0.478516,0.013275
0.005600,-0.488634,-0.480957,0.014648
0.005650,-0.483501,-0.480957,0.014648
0.005700,-0.477432,-0.480347,0.014343
0.005750,-0.470440,-0.478516,0.013275
0.005800,-0.462539,-0.474854,0.015564
0.005850,-0.453742,-0.472412,0.013123
0.005900,-0.444068,-0.468750,0.012665
0.005950,-0.433535,-0.461426,0.017395
0.006000,-0.422164,-0.455933,0.014648
0.006050,-0.409976,-0.447388,0.018005
0.006100,-0.396995,-0.440063,0.014343
0.006150,-0.383247,-0.429687,0.017242
0.006200,-0.368757,-0.419312,0.015259
0.006250,-0.353553,-0.408325,0.011902
0.006300,-0.337666,-0.396118,0.015106
0.006350,-0.321126,-0.385132,0.016174
0.006400,-0.303965,-0.367432,0.015869
0.006450,-0.286216,-0.358276,0.014496
0.006500,-0.267913,-0.341187,0.015106
0.006550,-0.249093,-0.328979,0.015106
0.006600,-0.229790,-0.310669,0.016174
0.006650,-0.210043,-0.293579,0.019531
0.006700,-0.189890,-0.277100,0.014191
0.006750,-0.169369,-0.259399,0.012054
0.006800,-0.148521,-0.239868,0.008545
0.006850,-0.127385,-0.221558,0.012970
0.006900,-0.106004,-0.202637,0.014038
0.006950,-0.084417,-0.183105,0.009918
0.007000,-0.062667,-0.161133,0.008850
0.007050,-0.040795,-0.144043,0.012360
0.007100,-0.018845,-0.123901,0.014954
0.007150,0.003142,-0.100098,0.014496
0.007200,0.025122,-0.079346,0.007172
0.007250,0.047054,-0.059204,0.007324
0.007300,0.068895,-0.037842,0.009155
0.007350,0.090603,-0.016479,0.010529
0.007400,0.112135,0.004272,0.006866
0.007450,0.133451,0.028076,0.008545
0.007500,0.154508,0.045166,0.012817
0.007550,0.175267,0.068359,0.013428
0.007600,0.195687,0.086060,0.010376
0.007650,0.215728,0.113525,0.007019
0.007700,0.235352,0.128784,0.007629
0.007750,0.254521,0.151978,0.008698
0.007800,0.273197,0.170288,0.010376
0.007850,0.291345,0.192261,0.008392
0.007900,0.308930,0.209961,0.004578
0.007950,0.325917,0.228271,0.005341
0.008000,0.342274,0.250854,0.005493
0.008050,0.357968,0.265503,0.007935
0.008100,0.372971,0.285645,0.008698
0.008150,0.387252,0.301514,0.007935
0.008200,0.400783,0.321655,0.000763
0.008250,0.413540,0.337524,0.000610
0.008300,0.425497,0.350342,0.001221
0.008350,0.436631,0.368042,0.005341
0.008400,0.446921,0.379639,0.006409
0.008450,0.456346,0.395508,0.003052
0.008500,0.464888,0.403442,0.000763
0.008550,0.472532,0.419312,-0.001373
0.008600,0.479261,0.429687,-0.003662
0.008650,0.485063,0.440063,0.004578
0.008700,0.489928,0.447998,0.000458
0.008750,0.493844,0.458374,-0.000458
0.008800,0.496806,0.463257,-0.002441
0.008850,0.498806,0.472412,0.000000
0.008900,0.499842,0.476685,-0.000763
0.008950,0.499911,0.482788,-0.000610
0.009000,0.499013,0.487061,-0.003052
0.009050,0.497150,0.488281,-0.004425
0.009100,0.494326,0.494385,-0.006561
0.009150,0.490545,0.492554,-0.003510
0.009200,0.485816,0.496826,-0.002594
0.009250,0.480147,0.496826,-0.001831
0.009300,0.473549,0.491333,-0.002441
0.009350,0.466036,0.489502,-0.004730
0.009400,0.457621,0.485840,-0.002747
0.009450,0.448321,0.482178,-0.004730
0.009500,0.438153,0.476074,-0.007324
0.009550,0.427139,0.471191,-0.006256
0.009600,0.415298,0.463257,-0.007782
0.009650,0.402654,0.455322,-0.005493
0.009700,0.389231,0.449829,-0.007324
0.009750,0.375056,0.437012,-0.004425
0.009800,0.360155,0.427246,-0.003052
0.009850,0.344557,0.414429,-0.003357
0.009900,0.328293,0.404053,-0.002289
0.009950,0.311394,0.389404,-0.006866
0.010000,0.293893,0.375977,-0.006409
0.010050,0.275823,0.363770,-0.004425
0.010100,0.257220,0.347290,-0.005341
0.010150,0.238119,0.333862,-0.006104
0.010200,0.218558,0.314941,-0.002441
0.010250,0.198574,0.299072,-0.001678
0.010300,0.178206,0.280151,-0.001831
0.010350,0.157493,0.263062,-0.006104
0.010400,0.136476,0.244141,-0.003357
0.010450,0.115195,0.225220,-0.003204
0.010500,0.093691,0.205688,0.000000
0.010550,0.072005,0.183716,0.001526
0.010600,0.050181,0.166626,-0.006104
0.010650,0.028259,0.147095,-0.007324
0.010700,0.006283,0.124512,-0.000763
0.010750,-0.015705,0.103760,-0.000916
0.010800,-0.037663,0.081787,-0.002747
0.010850,-0.059549,0.060425,0.000458
0.010900,-0.081319,0.043335,-0.002747
0.010950,-0.102931,0.017700,0.000458
0.011000,-0.124345,-0.001221,-0.001526
0.011050,-0.145518,-0.025024,-0.000305
0.011100,-0.166410,-0.042725,-0.001068
0.011150,-0.186980,-0.064087,-0.005035
0.011200,-0.207188,-0.085449,0.000610
0.011250,-0.226995,-0.108643,0.002289
0.011300,-0.246364,-0.128784,0.001526
0.011350,-0.265256,-0.149536,0.001221
0.011400,-0.283634,-0.170898,0.002136
0.011450,-0.301465,-0.188599,0.000610
0.011500,-0.318712,-0.208130,0.000763
0.011550,-0.335343,-0.228271,0.005341
0.011600,-0.351325,-0.247803,0.007019
0.011650,-0.366628,-0.262451,0.003662
0.011700,-0.381221,-0.283813,0.003967
0.011750,-0.395078,-0.297852,0.007324
0.011800,-0.408170,-0.315552,0.007782
0.011850,-0.420472,-0.331421,0.003204
0.011900,-0.431962,-0.345459,0.003815
0.011950,-0.442616,-0.362549,0.008545
0.012000,-0.452414,-0.374756,0.009460
0.012050,-0.461336,-0.387573,0.012054
0.012100,-0.469367,-0.399170,0.010681
0.012150,-0.476490,-0.411987,0.008240
0.012200,-0.482691,-0.419922,0.009766
0.012250,-0.487958,-0.433350,0.010986
0.012300,-0.492282,-0.440674,0.012207
0.012350,-0.495654,-0.449219,0.009003
0.012400,-0.498067,-0.455933,0.010986
0.012450,-0.499516,-0.463867,0.013885
0.012500,-0.500000,-0.468140,0.011292
0.012550,-0.499516,-0.473633,0.013275
0.012600,-0.498067,-0.477295,0.012360
0.012650,-0.495654,-0.479736,0.014496
0.012700,-0.492282,-0.482788,0.014343
0.012750,-0.487958,-0.481567,0.016785
0.012800,-0.482691,-0.482788,0.016785
0.012850,-0.476490,-0.479736,0.016937
0.012900,-0.469367,-0.478516,0.010376
0.012950,-0.461336,-0.473633,0.012665
0.013000,-0.452414,-0.469971,0.014954
0.013050,-0.442616,-0.465088,0.016022
0.013100,-0.431962,-0.460815,0.019836
0.013150,-0.420472,-0.453491,0.014801
0.013200,-0.408170,-0.446167,0.013885
0.013250,-0.395078,-0.436401,0.014801
0.013300,-0.381221,-0.427246,0.014801
0.013350,-0.366628,-0.419312,0.017395
0.013400,-0.351325,-0.404053,0.017242
0.013450,-0.335343,-0.397339,0.015717
0.013500,-0.318712,-0.382690,0.014496
0.013550,-0.301465,-0.371704,0.018005
0.013600,-0.283634,-0.354614,0.015717
0.013650,-0.265256,-0.341797,0.012665
0.013700,-0.246364,-0.324097,0.010681
0.013750,-0.226995,-0.311890,0.014801
0.013800,-0.207188,-0.291748,0.012360
0.013850,-0.186980,-0.273437,0.014191
0.013900,-0.166410,-0.258179,0.015869
0.013950,-0.145518,-0.239868,0.015259
0.014000,-0.124345,-0.221558,0.011902
0.014050,-0.102931,-0.199585,0.014038
0.014100,-0.081319,-0.182495,0.011444
0.014150,-0.059549,-0.158691,0.010376
0.014200,-0.037663,-0.138550,0.008392
0.014250,-0.015705,-0.118408,0.009613
0.014300,0.006283,-0.095825,0.010071
0.014350,0.028259,-0.078735,0.014648
0.014400,0.050181,-0.054321,0.009613
0.014450,0.072005,-0.037842,0.011292
0.014500,0.093691,-0.013428,0.012970
0.014550,0.115195,0.004883,0.011139
0.014600,0.136476,0.028687,0.006409
0.014650,0.157493,0.046997,0.010681
0.014700,0.178206,0.072632,0.007324
0.014750,0.198574,0.091553,0.011444
0.014800,0.218558,0.112305,0.007629
0.014850,0.238119,0.134888,0.007935
0.014900,0.257220,0.155640,0.008087
0.014950,0.275823,0.175171,0.007477
0.015000,0.293893,0.194092,0.004578
0.015050,0.311394,0.213623,0.007935
0.015100,0.328293,0.233765,0.006866
0.015150,0.344557,0.254517,0.005188
0.015200,0.360155,0.270386,0.007782
0.015250,0.375056,0.289307,0.007172
0.015300,0.389231,0.302124,0.002594
0.015350,0.402654,0.322266,0.003815
0.015400,0.415298,0.341187,-0.000763
0.015450,0.427139,0.355225,0.004425
0.015500,0.438153,0.368652,0.004578
0.015550,0.448321,0.381470,0.003815
0.015600,0.457621,0.393066,0.002747
0.015650,0.466036,0.407715,-0.000610
0.015700,0.473549,0.419312,-0.002289
0.015750,0.480147,0.432129,0.000153
0.015800,0.485816,0.440063,-0.000305
0.015850,0.490545,0.450439,-0.000916
0.015900,0.494326,0.459595,0.002899
0.015950,0.497150,0.467529,-0.000763
0.016000,0.499013,0.474243,-0.001068
0.016050,0.499911,0.479126,-0.001984
0.016100,0.499842,0.485840,-0.007019
0.016150,0.498806,0.489502,-0.002136
0.016200,0.496806,0.491943,-0.002136
0.016250,0.493844,0.495605,-0.004730
0.016300,0.489928,0.494385,-0.004272
0.016350,0.485063,0.496826,-0.001678
0.016400,0.479261,0.493774,-0.003204
0.016450,0.472532,0.492554,-0.002899
0.016500,0.464888,0.488281,-0.003204
0.016550,0.456346,0.486450,-0.007477
0.016600,0.446921,0.480957,-0.007324
0.016650,0.436631,0.477295,-0.005188
0.016700,0.425497,0.469971,-0.007324
0.016750,0.413540,0.464478,-0.004883
0.016800,0.400783,0.455322,-0.005493
0.016850,0.387252,0.446167,-0.006256
0.016900,0.372971,0.435791,-0.005798
0.016950,0.357968,0.426636,-0.005798
0.017000,0.342274,0.414429,-0.004120
0.017050,0.325917,0.399170,-0.004730
0.017100,0.308930,0.388184,-0.005035
0.017150,0.291345,0.374146,-0.002747
0.017200,0.273197,0.361938,-0.001984
0.017250,0.254521,0.344238,-0.007019
0.017300,0.235352,0.329590,-0.004883
0.017350,0.215728,0.313721,-0.005646
0.017400,0.195687,0.296021,-0.005646
0.017450,0.175267,0.276489,-0.004883
0.017500,0.154508,0.262451,-0.003662
0.017550,0.133451,0.241699,0.001068
0.017600,0.112135,0.222778,-0.004883
0.017650,0.090603,0.203857,-0.002899
0.017700,0.068895,0.181274,-0.001831
0.017750,0.047054,0.165405,-0.000305
0.017800,0.025122,0.142212,-0.002441
0.017850,0.003142,0.123291,-0.001526
0.017900,-0.018845,0.099487,-0.005188
0.017950,-0.040795,0.079956,0.000153
0.018000,-0.062667,0.058594,-0.000763
0.018050,-0.084417,0.036621,-0.000153
