t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.006714,0.006561
0.000050,0.475528,0.003662,0.005341
0.000100,0.293893,0.006104,0.381927
0.000150,-0.293893,0.021973,0.553284
0.000200,-0.475528,0.074463,-0.147095
0.000250,-0.000000,0.121460,-1.121826
0.000300,0.475528,0.116577,-0.810242
0.000350,0.293893,0.056763,0.471497
0.000400,-0.293893,-0.014648,1.189728
0.000450,-0.475528,-0.025635,0.450897
0.000500,-0.000000,0.014038,-0.745392
0.000550,0.475528,0.034790,-0.773010
0.000600,0.293893,0.012817,0.310059
0.000650,-0.293893,-0.021362,0.910950
0.000700,-0.475528,-0.010986,0.241241
0.000750,-0.000000,0.023804,-0.781403
0.000800,0.475528,0.042725,-0.748749
0.000850,0.293893,0.011597,0.339355
0.000900,-0.293893,-0.028687,0.987549
0.000950,-0.475528,-0.018921,0.289917
0.001000,-0.000000,0.023193,-0.824738
0.001050,0.475528,0.044556,-0.771179
0.001100,0.293893,0.012817,0.356293
0.001150,-0.293893,-0.021973,0.957336
0.001200,-0.475528,-0.018921,0.268555
0.001250,-0.000000,0.022583,-0.778656
0.001300,0.475528,0.041504,-0.764313
0.001350,0.293893,0.013428,0.326233
0.001400,-0.293893,-0.025024,0.979004
0.001450,-0.475528,-0.018311,0.283356
0.001500,-0.000000,0.026245,-0.825043
0.001550,0.475528,0.041504,-0.766144
0.001600,0.293893,0.010376,0.250702
0.001650,-0.293893,-0.024414,0.964661
0.001700,-0.475528,-0.020752,0.373993
0.001750,-0.000000,0.023804,-0.781860
0.001800,0.475528,0.043335,-0.830536
0.001850,0.293893,0.012817,0.318756
0.001900,-0.293893,-0.026245,0.979462
0.001950,-0.475528,-0.017090,0.287781
0.002000,-0.000000,0.025024,-0.744781
0.002050,0.475528,0.042114,-0.764008
0.002100,0.293893,0.010376,0.252380
0.002150,-0.293893,-0.021362,0.958862
0.002200,-0.475528,-0.020752,0.368652
0.002250,-0.000000,0.023804,-0.781860
0.002300,0.475528,0.045166,-0.829010
0.002350,0.293893,0.013428,0.323944
0.002400,-0.293893,-0.021973,0.977325
0.002450,-0.475528,-0.018921,0.287781
0.002500,-0.000000,0.021973,-0.746460
0.002550,0.475528,0.041504,-0.762939
0.002600,0.293893,0.009766,0.246277
0.002650,-0.293893,-0.023804,0.962372
0.002700,-0.475528,-0.020142,0.298615
0.002750,-0.000000,0.020142,-0.781097
0.002800,0.475528,0.032959,-0.785980
0.002850,0.293893,0.003662,0.370483
0.002900,-0.293893,-0.033569,1.005554
0.002950,-0.475528,-0.026855,0.288849
0.003000,-0.000000,0.015869,-0.782776
0.003050,0.475528,0.038452,-0.788269
0.003100,0.293893,0.010376,0.244598
0.003150,-0.293893,-0.026245,0.967407
0.003200,-0.475528,-0.022583,0.311584
0.003250,-0.000000,0.015259,-0.779724
0.003300,0.475528,0.033569,-0.786743
0.003350,0.293893,-0.000610,0.367126
0.003400,-0.293893,-0.033569,1.004028
0.003450,-0.475528,-0.027466,0.288391
0.003500,-0.000000,0.016479,-0.785370
0.003550,0.475528,0.040894,-0.788574
0.003600,0.293893,0.011597,0.242004
0.003650,-0.293893,-0.026855,0.957336
0.003700,-0.475528,-0.025635,0.310211
0.003750,-0.000000,0.016479,-0.777740
0.003800,0.475528,0.031128,-0.786438
0.003850,0.293893,-0.001221,0.370026
0.003900,-0.293893,-0.034180,1.002808
0.003950,-0.475528,-0.028687,0.284119
0.004000,-0.000000,0.018311,-0.786133
0.004050,0.475528,0.038452,-0.787048
0.004100,0.293893,0.012207,0.246429
0.004150,-0.293893,-0.026245,0.959778
0.004200,-0.475528,-0.024414,0.312500
0.004250,0.000000,0.017090,-0.779114
0.004300,0.475528,0.032349,-0.790710
0.004350,0.293893,0.000000,0.366821
0.004400,-0.293893,-0.036621,0.983276
0.004450,-0.475528,-0.028687,0.285187
0.004500,-0.000000,0.014648,-0.773010
0.004550,0.475528,0.034790,-0.772552
0.004600,0.293893,0.010376,0.309296
0.004650,-0.293893,-0.028076,0.962830
0.004700,-0.475528,-0.018311,0.279999
0.004750,-0.000000,0.026245,-0.825500
0.004800,0.475528,0.043335,-0.763245
0.004850,0.293893,0.012207,0.361786
0.004900,-0.293893,-0.023804,0.962830
0.004950,-0.475528,-0.018921,0.265961
0.005000,-0.000000,0.022583,-0.780487
0.005050,0.475528,0.040283,-0.827332
0.005100,0.293893,0.014038,0.323029
0.005150,-0.293893,-0.025024,0.978546
0.005200,-0.475528,-0.019531,0.285187
0.005250,0.000000,0.025024,-0.748444
0.005300,0.475528,0.039062,-0.763702
0.005350,0.293893,0.011597,0.362091
0.005400,-0.293893,-0.023193,0.961456
0.005450,-0.475528,-0.017090,0.371857
0.005500,-0.000000,0.024414,-0.781708
0.005550,0.475528,0.042725,-0.827332
0.005600,0.293893,0.011597,0.325012
0.005650,-0.293893,-0.022583,0.979004
0.005700,-0.475528,-0.020142,0.284729
0.005750,-0.000000,0.028076,-0.747833
0.005800,0.475528,0.042114,-0.763855
0.005850,0.293893,0.014648,0.248871
0.005900,-0.293893,-0.024414,0.958557
0.005950,-0.475528,-0.017700,0.368195
0.006000,-0.000000,0.022583,-0.776367
0.006050,0.475528,0.042725,-0.824127
0.006100,0.293893,0.012207,0.325928
0.006150,-0.293893,-0.022583,0.974426
0.006200,-0.475528,-0.020142,0.282898
0.006250,0.000000,0.020142,-0.747223
0.006300,0.475528,0.043335,-0.763855
0.006350,0.293893,0.009155,0.251923
0.006400,-0.293893,-0.020142,0.959320
0.006450,-0.475528,-0.022583,0.302277
0.006500,-0.000000,0.018311,-0.782471
0.006550,0.475528,0.034180,-0.788422
0.006600,0.293893,0.000610,0.368652
0.006650,-0.293893,-0.034790,1.006012
0.006700,-0.475528,-0.028687,0.289764
0.006750,-0.000000,0.016479,-0.782928
0.006800,0.475528,0.037842,-0.787659
0.006850,0.293893,0.012207,0.244598
0.006900,-0.293893,-0.029297,0.966797
0.006950,-0.475528,-0.020752,0.310822
0.007000,-0.000000,0.014648,-0.778809
0.007050,0.475528,0.034180,-0.784454
0.007100,0.293893,0.000610,0.368500
0.007150,-0.293893,-0.035400,1.000214
0.007200,-0.475528,-0.026855,0.283966
0.007250,0.000000,0.015259,-0.764465
0.007300,0.475528,0.042725,-0.788727
0.007350,0.293893,0.015869,0.233002
0.007400,-0.293893,-0.021973,0.956421
