t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.006714,0.003967
0.000050,0.212890,0.004272,0.007782
0.000100,0.385257,0.006714,0.177307
0.000150,0.484292,0.012817,0.450134
0.000200,0.491144,0.050049,0.540924
0.000250,0.404508,0.113525,0.353851
0.000300,0.240877,0.208130,-0.089417
0.000350,0.031395,0.306396,-0.595551
0.000400,-0.184062,0.375977,-0.929871
0.000450,-0.364484,0.383301,-0.993652
0.000500,-0.475528,0.325928,-0.774689
0.000550,-0.496057,0.198975,-0.379791
0.000600,-0.422164,0.043945,0.094147
0.000650,-0.267913,-0.127563,0.492554
0.000700,-0.062667,-0.263672,0.847473
0.000750,0.154508,-0.354004,1.009369
0.000800,0.342274,-0.369873,0.998993
0.000850,0.464888,-0.311890,0.746918
0.000900,0.499013,-0.199585,0.391541
0.000950,0.438153,-0.036011,-0.018158
0.001000,0.293893,0.122681,-0.456696
0.001050,0.093691,0.274048,-0.780029
0.001100,-0.124345,0.358276,-0.991669
0.001150,-0.318712,0.386963,-0.978088
0.001200,-0.452414,0.343018,-0.787506
0.001250,-0.500000,0.227051,-0.444183
0.001300,-0.452414,0.080566,-0.013580
0.001350,-0.318712,-0.089111,0.370026
0.001400,-0.124345,-0.231934,0.735016
0.001450,0.093691,-0.338135,0.951996
0.001500,0.293893,-0.372925,1.019135
0.001550,0.438153,-0.337524,0.858002
0.001600,0.499013,-0.238037,0.518494
0.001650,0.464888,-0.087891,0.114594
0.001700,0.342274,0.075073,-0.332184
0.001750,0.154508,0.222778,-0.688629
0.001800,-0.062667,0.339966,-0.961304
0.001850,-0.267913,0.388184,-1.017456
0.001900,-0.422164,0.368652,-0.875702
0.001950,-0.496057,0.267944,-0.559692
0.002000,-0.475528,0.130005,-0.133667
0.002050,-0.364484,-0.027466,0.259857
0.002100,-0.184062,-0.190430,0.646820
0.002150,0.031395,-0.313110,0.907745
0.002200,0.240877,-0.367432,1.031189
0.002250,0.404508,-0.358276,0.926361
0.002300,0.491144,-0.275269,0.628510
0.002350,0.484292,-0.131226,0.238037
0.002400,0.385257,0.023804,-0.210876
0.002450,0.212890,0.181885,-0.592804
0.002500,0.000000,0.313721,-0.912170
0.002550,-0.212890,0.382690,-1.045227
0.002600,-0.385257,0.378418,-0.939789
0.002650,-0.484292,0.308838,-0.646820
0.002700,-0.491144,0.170288,-0.237732
0.002750,-0.404508,0.016479,0.156403
0.002800,-0.240877,-0.150146,0.549622
0.002850,-0.031395,-0.278320,0.854645
0.002900,0.184062,-0.357056,1.020203
0.002950,0.364484,-0.367432,0.959930
0.003000,0.475528,-0.302124,0.713501
0.003050,0.496057,-0.184326,0.351105
0.003100,0.422164,-0.018311,-0.090790
0.003150,0.267913,0.136719,-0.483093
0.003200,0.062667,0.283203,-0.832977
0.003250,-0.154508,0.364380,-1.020508
0.003300,-0.342274,0.386963,-0.993805
0.003350,-0.464888,0.334473,-0.765533
0.003400,-0.499013,0.210571,-0.366364
0.003450,-0.438153,0.061035,0.046844
0.003500,-0.293893,-0.109253,0.457764
0.003550,-0.093691,-0.246582,0.787048
0.003600,0.124345,-0.348511,0.993042
0.003650,0.318712,-0.373535,1.021118
0.003700,0.452414,-0.328369,0.801697
0.003750,0.500000,-0.222168,0.462189
0.003800,0.452414,-0.063477,0.016022
0.003850,0.318712,0.097656,-0.387421
0.003900,0.124345,0.252686,-0.762787
0.003950,-0.093691,0.350342,-0.962524
0.004000,-0.293893,0.393066,-1.011505
0.004050,-0.438153,0.360107,-0.856018
0.004100,-0.499013,0.255737,-0.490417
0.004150,-0.464888,0.112305,-0.086212
0.004200,-0.342274,-0.058594,0.314789
0.004250,-0.154508,-0.208740,0.698547
0.004300,0.062667,-0.324097,0.960693
0.004350,0.267913,-0.372314,1.043243
0.004400,0.422164,-0.347290,0.883942
0.004450,0.496057,-0.259399,0.578003
0.004500,0.475528,-0.110474,0.177307
0.004550,0.364484,0.048218,-0.273437
0.004600,0.184062,0.212402,-0.671082
0.004650,-0.031395,0.327148,-0.939331
0.004700,-0.240877,0.388184,-1.020508
0.004750,-0.404508,0.374146,-0.910797
0.004800,-0.491144,0.284424,-0.614624
0.004850,-0.484292,0.153809,-0.202026
0.004900,-0.385257,-0.018311,0.233459
0.004950,-0.212890,-0.167236,0.599365
0.005000,-0.000000,-0.300293,0.880280
0.005050,0.212890,-0.364990,1.034851
0.005100,0.385257,-0.360718,0.959930
0.005150,0.484292,-0.292358,0.685120
0.005200,0.491144,-0.155029,0.298462
0.005250,0.404508,-0.001221,-0.149841
0.005300,0.240877,0.170898,-0.536804
0.005350,0.031395,0.296021,-0.876923
0.005400,-0.184062,0.376587,-1.018829
0.005450,-0.364484,0.383911,-0.968475
0.005500,-0.475528,0.315552,-0.717316
0.005550,-0.496057,0.196533,-0.321960
0.005600,-0.422164,0.028687,0.084229
0.005650,-0.267913,-0.122681,0.498810
0.005700,-0.062667,-0.272217,0.805511
0.005750,0.154508,-0.349731,1.015320
0.005800,0.342274,-0.371094,0.998230
0.005850,0.464888,-0.319824,0.782166
0.005900,0.499013,-0.198364,0.420532
0.005950,0.438153,-0.049438,-0.025177
0.006000,0.293893,0.113525,-0.429382
0.006050,0.093691,0.263062,-0.797882
0.006100,-0.124345,0.365601,-0.983887
0.006150,-0.318712,0.387573,-1.005096
0.006200,-0.452414,0.342407,-0.807190
0.006250,-0.500000,0.234985,-0.443878
0.006300,-0.452414,0.093994,-0.043335
0.006350,-0.318712,-0.081787,0.388947
0.006400,-0.124345,-0.236816,0.723572
0.006450,0.093691,-0.335083,0.986328
0.006500,0.293893,-0.375977,1.029816
0.006550,0.438153,-0.341187,0.868225
0.006600,0.499013,-0.237427,0.535126
0.006650,0.464888,-0.093994,0.095215
0.006700,0.342274,0.062866,-0.315857
0.006750,0.154508,0.225830,-0.713959
0.006800,-0.062667,0.333862,-0.968323
0.006850,-0.267913,0.385132,-1.025848
0.006900,-0.422164,0.363159,-0.865631
0.006950,-0.496057,0.267334,-0.537720
0.007000,-0.475528,0.134277,-0.155029
0.007050,-0.364484,-0.034790,0.277405
0.007100,-0.184062,-0.184937,0.624390
0.007150,0.031395,-0.310669,0.925140
0.007200,0.240877,-0.371094,1.028900
0.007250,0.404508,-0.360107,0.935516
0.007300,0.491144,-0.281372,0.659485
0.007350,0.484292,-0.140381,0.224457
0.007400,0.385257,0.014648,-0.199585
0.007450,0.212890,0.186768,-0.624390
0.007500,0.000000,0.307617,-0.918427
0.007550,-0.212890,0.382080,-1.029663
0.007600,-0.385257,0.378418,-0.928497
0.007650,-0.484292,0.302124,-0.641327
0.007700,-0.491144,0.179443,-0.265961
0.007750,-0.404508,0.009766,0.128021
0.007800,-0.240877,-0.140381,0.531921
0.007850,-0.031395,-0.282593,0.858765
0.007900,0.184062,-0.357056,1.005249
0.007950,0.364484,-0.368652,0.979767
0.008000,0.475528,-0.309448,0.758667
0.008050,0.496057,-0.181885,0.383148
0.008100,0.422164,-0.028687,-0.073700
0.008150,0.267913,0.142212,-0.509949
0.008200,0.062667,0.278320,-0.825195
0.008250,-0.154508,0.370483,-1.019745
0.008300,-0.342274,0.389404,-1.012726
0.008350,-0.464888,0.332031,-0.754547
0.008400,-0.499013,0.220947,-0.388489
0.008450,-0.438153,0.056763,0.024719
0.008500,-0.293893,-0.102539,0.450592
0.008550,-0.093691,-0.252686,0.769043
0.008600,0.124345,-0.344849,1.003265
0.008650,0.318712,-0.377197,1.013641
0.008700,0.452414,-0.332642,0.830536
0.008750,0.500000,-0.220337,0.481110
0.008800,0.452414,-0.071411,0.033722
0.008850,0.318712,0.102539,-0.373230
0.008900,0.124345,0.245972,-0.755005
0.008950,-0.093691,0.354004,-0.970306
0.009000,-0.293893,0.390015,-1.020203
0.009050,-0.438153,0.353394,-0.823975
0.009100,-0.499013,0.255737,-0.497742
0.009150,-0.464888,0.103149,-0.064697
0.009200,-0.342274,-0.054932,0.334778
0.009250,-0.154508,-0.213013,0.677185
0.009300,0.062667,-0.322876,0.955200
0.009350,0.267913,-0.374146,1.025543
0.009400,0.422164,-0.351562,0.903320
0.009450,0.496057,-0.258179,0.596771
0.009500,0.475528,-0.119019,0.165558
0.009550,0.364484,0.054932,-0.251007
0.009600,0.184062,0.205688,-0.665741
0.009650,-0.031395,0.325928,-0.934906
0.009700,-0.240877,0.386963,-1.030121
0.009750,-0.404508,0.369263,-0.914917
0.009800,-0.491144,0.291748,-0.610046
0.009850,-0.484292,0.146484,-0.220795
0.009900,-0.385257,-0.004883,0.216370
0.009950,-0.212890,-0.173950,0.575256
0.010000,-0.000000,-0.292358,0.897827
0.010050,0.212890,-0.364990,1.028595
0.010100,0.385257,-0.364990,0.965729
0.010150,0.484292,-0.288696,0.701447
0.010200,0.491144,-0.163574,0.289459
0.010250,0.404508,0.005493,-0.130310
0.010300,0.240877,0.163574,-0.561523
0.010350,0.031395,0.303345,-0.858002
0.010400,-0.184062,0.374146,-1.026306
0.010450,-0.364484,0.384521,-0.968323
0.010500,-0.475528,0.321655,-0.710907
0.010550,-0.496057,0.189209,-0.349884
0.010600,-0.422164,0.037231,0.099792
0.010650,-0.267913,-0.115967,0.480804
0.010700,-0.062667,-0.266113,0.832367
0.010750,0.154508,-0.349731,1.010284
0.010800,0.342274,-0.374146,1.010895
0.010850,0.464888,-0.325928,0.808868
0.010900,0.499013,-0.204468,0.406799
0.010950,0.438153,-0.054932,-0.017700
0.011000,0.293893,0.121460,-0.464783
0.011050,0.093691,0.260010,-0.788574
0.011100,-0.124345,0.363770,-1.005402
0.011150,-0.318712,0.388794,-0.997009
0.011200,-0.452414,0.348511,-0.798645
0.011250,-0.500000,0.242310,-0.467529
0.011300,-0.452414,0.086060,-0.018768
0.011350,-0.318712,-0.075684,0.382843
0.011400,-0.124345,-0.231323,0.751190
0.011450,0.093691,-0.333252,0.969391
0.011500,0.293893,-0.376587,1.031036
0.011550,0.438153,-0.344849,0.888824
0.011600,0.499013,-0.244141,0.524292
0.011650,0.464888,-0.100708,0.106812
0.011700,0.342274,0.075684,-0.347443
0.011750,0.154508,0.223999,-0.717773
0.011800,-0.062667,0.343018,-0.970001
0.011850,-0.267913,0.387573,-1.005707
0.011900,-0.422164,0.363770,-0.859375
0.011950,-0.496057,0.277100,-0.551758
0.012000,-0.475528,0.131836,-0.175323
0.012050,-0.364484,-0.026245,0.254364
0.012100,-0.184062,-0.186157,0.638123
0.012150,0.031395,-0.307617,0.908813
0.012200,0.240877,-0.369263,1.040344
0.012250,0.404508,-0.360718,0.958099
0.012300,0.491144,-0.275269,0.641937
0.012350,0.484292,-0.148315,0.240479
0.012400,0.385257,0.026855,-0.222778
0.012450,0.212890,0.181885,-0.606689
0.012500,0.000000,0.316162,-0.897217
0.012550,-0.212890,0.383301,-1.044922
0.012600,-0.385257,0.378418,-0.938873
0.012650,-0.484292,0.310669,-0.670166
0.012700,-0.491144,0.171509,-0.277863
0.012750,-0.404508,0.017700,0.162201
0.012800,-0.240877,-0.152588,0.559387
0.012850,-0.031395,-0.278320,0.863953
0.012900,0.184062,-0.363159,1.024628
0.012950,0.364484,-0.371704,0.994568
0.013000,0.475528,-0.303955,0.746307
0.013050,0.496057,-0.184326,0.349731
0.013100,0.422164,-0.016479,-0.103149
0.013150,0.267913,0.137329,-0.503540
0.013200,0.062667,0.287476,-0.818634
0.013250,-0.154508,0.367432,-1.020660
0.013300,-0.342274,0.387573,-0.981140
0.013350,-0.464888,0.335083,-0.761566
0.013400,-0.499013,0.210571,-0.362091
0.013450,-0.438153,0.062866,0.039825
0.013500,-0.293893,-0.109863,0.425568
0.013550,-0.093691,-0.248413,0.784302
0.013600,0.124345,-0.347900,0.989532
0.013650,0.318712,-0.375366,1.026001
0.013700,0.452414,-0.328979,0.833740
0.013750,0.500000,-0.225220,0.469360
0.013800,0.452414,-0.065918,0.056915
0.013850,0.318712,0.097656,-0.390930
0.013900,0.124345,0.248413,-0.735626
0.013950,-0.093691,0.350952,-0.987549
0.014000,-0.293893,0.388794,-1.013336
0.014050,-0.438153,0.357056,-0.843811
0.014100,-0.499013,0.252686,-0.512085
0.014150,-0.464888,0.108643,-0.086212
0.014200,-0.342274,-0.062866,0.310211
0.014250,-0.154508,-0.209961,0.695190
0.014300,0.062667,-0.320435,0.944214
0.014350,0.267913,-0.374146,1.041565
0.014400,0.422164,-0.347900,0.912170
0.014450,0.496057,-0.263062,0.584717
0.014500,0.475528,-0.112305,0.180359
0.014550,0.364484,0.045776,-0.270844
0.014600,0.184062,0.211792,-0.642700
0.014650,-0.031395,0.324097,-0.939026
0.014700,-0.240877,0.387573,-1.022491
0.014750,-0.404508,0.373535,-0.918884
0.014800,-0.491144,0.295410,-0.637665
0.014850,-0.484292,0.153809,-0.203705
0.014900,-0.385257,-0.018311,0.207062
0.014950,-0.212890,-0.169067,0.608215
0.015000,-0.000000,-0.292358,0.883636
0.015050,0.212890,-0.368042,1.042328
0.015100,0.385257,-0.368042,0.964966
0.015150,0.484292,-0.294189,0.687103
0.015200,0.491144,-0.170288,0.302582
0.015250,0.404508,-0.000610,-0.148773
0.015300,0.240877,0.155029,-0.552368
0.015350,0.031395,0.297852,-0.877075
0.015400,-0.184062,0.371094,-1.008759
0.015450,-0.364484,0.384521,-0.962067
0.015500,-0.475528,0.321655,-0.731964
0.015550,-0.496057,0.195312,-0.326691
0.015600,-0.422164,0.041504,0.088959
0.015650,-0.267913,-0.126953,0.502625
0.015700,-0.062667,-0.261230,0.812073
0.015750,0.154508,-0.355225,1.011810
0.015800,0.342274,-0.376587,1.025848
0.015850,0.464888,-0.321655,0.782013
0.015900,0.499013,-0.209351,0.406036
0.015950,0.438153,-0.047607,-0.039520
0.016000,0.293893,0.112915,-0.442810
0.016050,0.093691,0.264893,-0.775299
0.016100,-0.124345,0.359497,-1.006927
0.016150,-0.318712,0.386963,-0.998077
0.016200,-0.452414,0.346680,-0.785370
0.016250,-0.500000,0.230103,-0.423737
0.016300,-0.452414,0.091553,-0.035553
0.016350,-0.318712,-0.080566,0.381927
0.016400,-0.124345,-0.223389,0.716400
0.016450,0.093691,-0.334473,0.980225
0.016500,0.293893,-0.378418,1.051178
0.016550,0.438153,-0.340576,0.891418
0.016600,0.499013,-0.248413,0.540466
0.016650,0.464888,-0.090942,0.087585
0.016700,0.342274,0.066528,-0.334320
0.016750,0.154508,0.231934,-0.696259
0.016800,-0.062667,0.335083,-0.968018
0.016850,-0.267913,0.388184,-1.023865
0.016900,-0.422164,0.364380,-0.882111
0.016950,-0.496057,0.267944,-0.566254
0.017000,-0.475528,0.131836,-0.145264
0.017050,-0.364484,-0.037842,0.288544
0.017100,-0.184062,-0.189819,0.646820
0.017150,0.031395,-0.314331,0.927124
0.017200,0.240877,-0.371704,1.042633
0.017250,0.404508,-0.359497,0.941620
0.017300,0.491144,-0.278931,0.640564
0.017350,0.484292,-0.139160,0.210419
0.017400,0.385257,0.022583,-0.208893
0.017450,0.212890,0.188599,-0.591736
0.017500,0.000000,0.312500,-0.911102
0.017550,-0.212890,0.382690,-1.022034
0.017600,-0.385257,0.380249,-0.943909
0.017650,-0.484292,0.301514,-0.642548
0.017700,-0.491144,0.176392,-0.266571
0.017750,-0.404508,0.010986,0.137634
0.017800,-0.240877,-0.150146,0.547943
0.017850,-0.031395,-0.285034,0.865784
0.017900,0.184062,-0.361328,1.033325
0.017950,0.364484,-0.370483,0.990601
0.018000,0.475528,-0.308228,0.739136
0.018050,0.496057,-0.177612,0.364075
0.018100,0.422164,-0.028076,-0.087280
0.018150,0.267913,0.145874,-0.482941
0.018200,0.062667,0.277710,-0.835724
0.018250,-0.154508,0.372314,-1.006927
0.018300,-0.342274,0.388794,-0.994568
0.018350,-0.464888,0.328979,-0.765686
0.018400,-0.499013,0.219727,-0.382233
0.018450,-0.438153,0.056763,0.018616
0.018500,-0.293893,-0.099487,0.440674
0.018550,-0.093691,-0.252686,0.767212
0.018600,0.124345,-0.344238,1.002350
0.018650,0.318712,-0.373535,1.018982
0.018700,0.452414,-0.333862,0.831757
0.018750,0.500000,-0.230713,0.483398
0.018800,0.452414,-0.073853,0.039062
0.018850,0.318712,0.100098,-0.373688
0.018900,0.124345,0.244751,-0.757141
0.018950,-0.093691,0.351562,-0.967255
0.019000,-0.293893,0.388184,-1.014709
0.019050,-0.438153,0.360107,-0.846100
0.019100,-0.499013,0.258179,-0.503082
0.019150,-0.464888,0.117187,-0.103302
0.019200,-0.342274,-0.054932,0.328064
0.019250,-0.154508,-0.200195,0.669403
0.019300,0.062667,-0.319214,0.956421
0.019350,0.267913,-0.372925,1.060181
0.019400,0.422164,-0.349121,0.910339
0.019450,0.496057,-0.265503,0.584869
0.019500,0.475528,-0.116577,0.154877
0.019550,0.364484,0.043335,-0.263062
0.019600,0.184062,0.208740,-0.665894
0.019650,-0.031395,0.321655,-0.918274
0.019700,-0.240877,0.388184,-1.031036
0.019750,-0.404508,0.375366,-0.933533
0.019800,-0.491144,0.289307,-0.607147
0.019850,-0.484292,0.161133,-0.203247
0.019900,-0.385257,-0.010986,0.230560
0.019950,-0.212890,-0.162964,0.581055
0.020000,-0.000000,-0.298462,0.893707
0.020050,0.212890,-0.365601,1.049347
0.020100,0.385257,-0.364990,0.966339
0.020150,0.484292,-0.296021,0.684357
0.020200,0.491144,-0.161743,0.273132
0.020250,0.404508,-0.004883,-0.135651
0.020300,0.240877,0.167847,-0.561218
0.020350,0.031395,0.293579,-0.874176
0.020400,-0.184062,0.377808,-1.022797
0.020450,-0.364484,0.381470,-0.952759
0.020500,-0.475528,0.321045,-0.723114
0.020550,-0.496057,0.202637,-0.346832
0.020600,-0.422164,0.036011,0.099945
0.020650,-0.267913,-0.119019,0.478516
0.020700,-0.062667,-0.267334,0.804443
0.020750,0.154508,-0.352173,1.033173
0.020800,0.342274,-0.375366,1.013641
0.020850,0.464888,-0.322876,0.794983
