t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.005493,0.006866
0.000050,0.267913,0.006714,0.003357
0.000100,0.452414,0.008545,0.216675
0.000150,0.496057,0.017700,0.533905
0.000200,0.385257,0.057373,0.563202
0.000250,0.154508,0.126953,0.195160
0.000300,-0.124345,0.231934,-0.480194
0.000350,-0.364484,0.307007,-1.038818
0.000400,-0.491144,0.331421,-1.263885
0.000450,-0.464888,0.270996,-0.962677
0.000500,-0.293893,0.125122,-0.252380
0.000550,-0.031395,-0.046997,0.505676
0.000600,0.240877,-0.217285,1.221466
0.000650,0.438153,-0.307617,1.536713
0.000700,0.499013,-0.303955,1.297760
0.000750,0.404508,-0.200195,0.679016
0.000800,0.184062,-0.020142,-0.176239
0.000850,-0.093691,0.156250,-0.929565
0.000900,-0.342274,0.303345,-1.439209
0.000950,-0.484292,0.347290,-1.496582
0.001000,-0.475528,0.287476,-0.986328
0.001050,-0.318712,0.145874,-0.254974
0.001100,-0.062667,-0.049438,0.513000
0.001150,0.212890,-0.209961,1.210175
0.001200,0.422164,-0.315552,1.502686
0.001250,0.500000,-0.311890,1.321411
0.001300,0.422164,-0.207520,0.680542
0.001350,0.212890,-0.043945,-0.082703
0.001400,-0.062667,0.150146,-0.891876
0.001450,-0.318712,0.286255,-1.418762
0.001500,-0.475528,0.346069,-1.488190
0.001550,-0.484292,0.296021,-1.064301
0.001600,-0.342274,0.154419,-0.302734
0.001650,-0.093691,-0.025024,0.464935
0.001700,0.184062,-0.201416,1.102753
0.001750,0.404508,-0.305786,1.493378
0.001800,0.499013,-0.317993,1.344299
0.001850,0.438153,-0.230103,0.795288
0.001900,0.240877,-0.059814,0.052490
0.001950,-0.031395,0.123291,-0.792999
0.002000,-0.293893,0.277710,-1.342163
0.002050,-0.464888,0.343018,-1.510162
0.002100,-0.491144,0.305786,-1.106262
0.002150,-0.364484,0.176392,-0.428467
0.002200,-0.124345,-0.007935,0.334167
0.002250,0.154508,-0.177612,1.078033
0.002300,0.385257,-0.302124,1.459351
0.002350,0.496057,-0.322266,1.404266
0.002400,0.452414,-0.240479,0.899200
0.002450,0.267913,-0.088501,0.106354
0.002500,0.000000,0.104980,-0.659485
0.002550,-0.267913,0.257568,-1.325531
0.002600,-0.452414,0.340576,-1.511841
0.002650,-0.496057,0.316162,-1.199493
0.002700,-0.385257,0.194092,-0.553131
0.002750,-0.154508,0.021973,0.283508
0.002800,0.124345,-0.165405,0.969391
0.002850,0.364484,-0.289917,1.459503
0.002900,0.491144,-0.325928,1.445007
0.002950,0.464888,-0.260620,0.955353
0.003000,0.293893,-0.116577,0.236206
0.003050,0.031395,0.079346,-0.621033
