t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.006104,0.004272
0.000050,0.117557,0.007935,0.001831
0.000100,0.190211,0.005493,0.099945
0.000150,0.190211,0.008545,0.229034
0.000200,0.117557,0.025635,0.229492
0.000250,0.000000,0.059204,0.046692
0.000300,-0.117557,0.096436,-0.276947
0.000350,-0.190211,0.123901,-0.502930
0.000400,-0.190211,0.120239,-0.528412
0.000450,-0.117557,0.076294,-0.302277
0.000500,-0.000000,0.012817,0.110321
0.000550,0.117557,-0.064697,0.470428
0.000600,0.190211,-0.107422,0.696869
0.000650,0.190211,-0.112305,0.636902
0.000700,0.117557,-0.071411,0.314178
0.000750,0.000000,0.006714,-0.108490
0.000800,-0.117557,0.080566,-0.542450
0.000850,-0.190211,0.127563,-0.737915
0.000900,-0.190211,0.131836,-0.631409
0.000950,-0.117557,0.082397,-0.292664
0.001000,-0.000000,0.007935,0.181274
0.001050,0.117557,-0.066528,0.543060
0.001100,0.190211,-0.118408,0.734406
0.001150,0.190211,-0.119629,0.645447
0.001200,0.117557,-0.073853,0.293427
0.001250,0.000000,0.000610,-0.140991
0.001300,-0.117557,0.083618,-0.564575
0.001350,-0.190211,0.134277,-0.749054
0.001400,-0.190211,0.137329,-0.626831
0.001450,-0.117557,0.088501,-0.286407
0.001500,-0.000000,0.009155,0.188751
0.001550,0.117557,-0.068359,0.549011
0.001600,0.190211,-0.120239,0.737457
0.001650,0.190211,-0.121460,0.647278
0.001700,0.117557,-0.074463,0.290680
0.001750,0.000000,0.001831,-0.137939
0.001800,-0.117557,0.083008,-0.565491
0.001850,-0.190211,0.133057,-0.748901
0.001900,-0.190211,0.133667,-0.626221
0.001950,-0.117557,0.087891,-0.286865
0.002000,-0.000000,0.007935,0.185089
0.002050,0.117557,-0.067749,0.562286
0.002100,0.190211,-0.121460,0.741882
0.002150,0.190211,-0.121460,0.641785
0.002200,0.117557,-0.069580,0.277863
0.002250,0.000000,0.004272,-0.159302
0.002300,-0.117557,0.087891,-0.565491
0.002350,-0.190211,0.131226,-0.737915
0.002400,-0.190211,0.136108,-0.614319
0.002450,-0.117557,0.086670,-0.279541
0.002500,-0.000000,0.007324,0.190582
0.002550,0.117557,-0.069580,0.559845
0.002600,0.190211,-0.118408,0.727386
0.002650,0.190211,-0.120239,0.637360
0.002700,0.117557,-0.074463,0.282440
0.002750,0.000000,0.004272,-0.143890
0.002800,-0.117557,0.084839,-0.561829
0.002850,-0.190211,0.134888,-0.730743
0.002900,-0.190211,0.135498,-0.622101
0.002950,-0.117557,0.091553,-0.294647
0.003000,-0.000000,0.010986,0.140076
0.003050,0.117557,-0.064697,0.554657
0.003100,0.190211,-0.115356,0.730133
0.003150,0.190211,-0.122681,0.644531
0.003200,0.117557,-0.072632,0.290833
0.003250,0.000000,-0.001221,-0.150146
0.003300,-0.117557,0.083618,-0.538483
0.003350,-0.190211,0.130615,-0.740967
0.003400,-0.190211,0.133667,-0.618134
0.003450,-0.117557,0.087280,-0.278931
0.003500,-0.000000,0.007324,0.149231
0.003550,0.117557,-0.065308,0.558319
0.003600,0.190211,-0.120239,0.731659
0.003650,0.190211,-0.122681,0.636749
0.003700,0.117557,-0.071411,0.282440
0.003750,0.000000,0.001831,-0.154877
0.003800,-0.117557,0.085449,-0.537567
0.003850,-0.190211,0.131836,-0.736389
0.003900,-0.190211,0.131836,-0.635834
0.003950,-0.117557,0.088501,-0.279083
0.004000,-0.000000,0.004883,0.149384
0.004050,0.117557,-0.068359,0.555878
0.004100,0.190211,-0.121460,0.724335
0.004150,0.190211,-0.120850,0.637360
0.004200,0.117557,-0.073853,0.323334
0.004250,-0.000000,0.001221,-0.149536
0.004300,-0.117557,0.087280,-0.538635
0.004350,-0.190211,0.131836,-0.740967
0.004400,-0.190211,0.131226,-0.636902
0.004450,-0.117557,0.087280,-0.280914
0.004500,-0.000000,0.006714,0.149078
0.004550,0.117557,-0.068359,0.558167
0.004600,0.190211,-0.119629,0.730286
0.004650,0.190211,-0.121460,0.636444
0.004700,0.117557,-0.073853,0.320740
0.004750,0.000000,0.003662,-0.150604
0.004800,-0.117557,0.083618,-0.536499
0.004850,-0.190211,0.132446,-0.739441
0.004900,-0.190211,0.133667,-0.638275
0.004950,-0.117557,0.089111,-0.283661
0.005000,-0.000000,0.009155,0.148163
0.005050,0.117557,-0.068359,0.559082
0.005100,0.190211,-0.116577,0.730286
0.005150,0.190211,-0.120850,0.636749
0.005200,0.117557,-0.074463,0.321655
0.005250,-0.000000,0.002441,-0.152130
0.005300,-0.117557,0.079346,-0.537415
0.005350,-0.190211,0.132446,-0.739746
0.005400,-0.190211,0.134277,-0.644531
0.005450,-0.117557,0.089722,-0.281219
0.005500,-0.000000,0.011597,0.154114
0.005550,0.117557,-0.068970,0.562592
0.005600,0.190211,-0.120239,0.745392
0.005650,0.190211,-0.122070,0.639343
0.005700,0.117557,-0.075684,0.308685
0.005750,0.000000,0.002441,-0.166626
0.005800,-0.117557,0.081787,-0.557404
0.005850,-0.190211,0.132446,-0.737305
0.005900,-0.190211,0.136719,-0.630341
0.005950,-0.117557,0.084839,-0.267181
0.006000,-0.000000,0.010986,0.162048
0.006050,0.117557,-0.070801,0.565796
0.006100,0.190211,-0.119019,0.740204
0.006150,0.190211,-0.120239,0.630493
0.006200,0.117557,-0.079346,0.304108
0.006250,-0.000000,0.004272,-0.165863
0.006300,-0.117557,0.079346,-0.553894
0.006350,-0.190211,0.131836,-0.738220
0.006400,-0.190211,0.133667,-0.632019
0.006450,-0.117557,0.085449,-0.269470
