t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.009155,0.000916
0.000050,0.096351,0.006714,0.005035
0.000100,0.168866,0.004272,0.086670
0.000150,0.199605,0.009766,0.198822
0.000200,0.180965,0.023193,0.233917
0.000250,0.117557,0.053711,0.120239
0.000300,0.025067,0.092773,-0.109558
0.000350,-0.073625,0.130615,-0.339355
0.000400,-0.154103,0.147095,-0.457153
0.000450,-0.196457,0.136108,-0.424042
0.000500,-0.190211,0.093994,-0.249329
0.000550,-0.136909,0.023193,0.026398
0.000600,-0.049738,-0.046387,0.275116
0.000650,0.049738,-0.109253,0.456848
0.000700,0.136909,-0.139160,0.537872
0.000750,0.190211,-0.133057,0.458527
0.000800,0.196457,-0.093384,0.277405
0.000850,0.154103,-0.023804,0.009460
0.000900,0.073625,0.050049,-0.239258
0.000950,-0.025067,0.112915,-0.436401
0.001000,-0.117557,0.151367,-0.515137
0.001050,-0.180965,0.152588,-0.461578
0.001100,-0.199605,0.119019,-0.306854
0.001150,-0.168866,0.057373,-0.081177
0.001200,-0.096351,-0.016479,0.177307
0.001250,-0.000000,-0.085449,0.377045
0.001300,0.096351,-0.128784,0.508423
0.001350,0.168866,-0.141602,0.499878
0.001400,0.199605,-0.118408,0.375671
0.001450,0.180965,-0.060425,0.161591
0.001500,0.117557,0.010986,-0.106506
0.001550,0.025067,0.083618,-0.326996
0.001600,-0.073625,0.136719,-0.485382
0.001650,-0.154103,0.158691,-0.509338
0.001700,-0.196457,0.139160,-0.406342
0.001750,-0.190211,0.090332,-0.214691
0.001800,-0.136909,0.020752,0.052643
0.001850,-0.049738,-0.054321,0.280609
0.001900,0.049738,-0.110474,0.469666
0.001950,0.136909,-0.138550,0.521698
0.002000,0.190211,-0.133667,0.453491
0.002050,0.196457,-0.092163,0.281525
0.002100,0.154103,-0.026855,0.027313
0.002150,0.073625,0.041504,-0.217133
0.002200,-0.025067,0.111694,-0.432281
0.002250,-0.117557,0.148315,-0.523071
0.002300,-0.180965,0.152588,-0.473328
0.002350,-0.199605,0.120239,-0.311279
0.002400,-0.168866,0.057983,-0.071564
0.002450,-0.096351,-0.010376,0.167999
0.002500,-0.000000,-0.082397,0.388336
0.002550,0.096351,-0.128784,0.502167
0.002600,0.168866,-0.140381,0.504303
0.002650,0.199605,-0.120850,0.377502
0.002700,0.180965,-0.061646,0.154114
0.002750,0.117557,0.004272,-0.091858
0.002800,0.025067,0.079346,-0.337219
0.002850,-0.073625,0.131836,-0.477600
0.002900,-0.154103,0.155029,-0.509949
0.002950,-0.196457,0.140381,-0.420837
0.003000,-0.190211,0.091553,-0.205383
0.003050,-0.136909,0.026245,0.045929
0.003100,-0.049738,-0.050659,0.298462
0.003150,0.049738,-0.108643,0.456238
0.003200,0.136909,-0.137329,0.522614
0.003250,0.190211,-0.136719,0.467987
0.003300,0.196457,-0.092163,0.275269
0.003350,0.154103,-0.031738,0.035706
0.003400,0.073625,0.046997,-0.238037
0.003450,-0.025067,0.109863,-0.435638
0.003500,-0.117557,0.148926,-0.516815
0.003550,-0.180965,0.152588,-0.476685
0.003600,-0.199605,0.117187,-0.304260
0.003650,-0.168866,0.059814,-0.075531
0.003700,-0.096351,-0.016479,0.164185
0.003750,-0.000000,-0.081787,0.386658
