t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.004883,0.008087
0.000050,0.267913,0.003662,0.005035
0.000100,0.452414,0.008545,0.186310
0.000150,0.496057,0.016479,0.532684
0.000200,0.385257,0.053711,0.578156
0.000250,0.154508,0.128784,0.194244
0.000300,-0.124345,0.222778,-0.451660
0.000350,-0.364484,0.307007,-1.080170
0.000400,-0.491144,0.331421,-1.253815
0.000450,-0.464888,0.261841,-0.928955
0.000500,-0.293893,0.127563,-0.277710
0.000550,-0.031395,-0.059204,0.557098
0.000600,0.240877,-0.213013,1.219177
0.000650,0.438153,-0.309448,1.520233
0.000700,0.499013,-0.302734,1.307678
0.000750,0.404508,-0.189209,0.628510
0.000800,0.184062,-0.023193,-0.164948
0.000850,-0.093691,0.172729,-0.984192
0.000900,-0.342274,0.301514,-1.470490
0.000950,-0.484292,0.348511,-1.456299
0.001000,-0.475528,0.287476,-0.977936
0.001050,-0.318712,0.132446,-0.198059
0.001100,-0.062667,-0.044556,0.562744
0.001150,0.212890,-0.220337,1.171570
0.001200,0.422164,-0.313110,1.505432
0.001250,0.500000,-0.310059,1.286621
0.001300,0.422164,-0.212402,0.696564
0.001350,0.212890,-0.031738,-0.055847
0.001400,-0.062667,0.143433,-0.884399
0.001450,-0.318712,0.293579,-1.422424
0.001500,-0.475528,0.344849,-1.484985
0.001550,-0.484292,0.289917,-1.023407
0.001600,-0.342274,0.158081,-0.324249
0.001650,-0.093691,-0.032959,0.435333
0.001700,0.184062,-0.198364,1.150360
0.001750,0.404508,-0.311890,1.494751
0.001800,0.499013,-0.321045,1.360931
0.001850,0.438153,-0.225220,0.816193
0.001900,0.240877,-0.065308,-0.000763
0.001950,-0.031395,0.130615,-0.764465
0.002000,-0.293893,0.278320,-1.387177
0.002050,-0.464888,0.344849,-1.508942
0.002100,-0.491144,0.308838,-1.128082
0.002150,-0.364484,0.169678,-0.450439
0.002200,-0.124345,-0.003662,0.390472
0.002250,0.154508,-0.188599,1.103210
0.002300,0.385257,-0.299072,1.485901
0.002350,0.496057,-0.323486,1.410980
0.002400,0.452414,-0.242920,0.869751
0.002450,0.267913,-0.077515,0.124664
0.002500,0.000000,0.104370,-0.723419
0.002550,-0.267913,0.267944,-1.344452
0.002600,-0.452414,0.341187,-1.520691
0.002650,-0.496057,0.314331,-1.206818
0.002700,-0.385257,0.197754,-0.505066
0.002750,-0.154508,0.010986,0.261536
0.002800,0.124345,-0.161743,1.019592
0.002850,0.364484,-0.293579,1.440582
0.002900,0.491144,-0.328369,1.443329
