t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.006714,0.003815
0.000050,0.212890,0.006714,0.003662
0.000100,0.385257,0.006104,0.179291
0.000150,0.484292,0.012207,0.450745
0.000200,0.491144,0.046997,0.544434
0.000250,0.404508,0.108032,0.344543
0.000300,0.240877,0.208740,-0.063477
0.000350,0.031395,0.303955,-0.589752
0.000400,-0.184062,0.374146,-0.919189
0.000450,-0.364484,0.384521,-1.002045
0.000500,-0.475528,0.319824,-0.778656
0.000550,-0.496057,0.201416,-0.359955
0.000600,-0.422164,0.032959,0.085144
0.000650,-0.267913,-0.126343,0.525818
0.000700,-0.062667,-0.261230,0.831909
0.000750,0.154508,-0.350952,1.022186
0.000800,0.342274,-0.366821,0.988159
0.000850,0.464888,-0.312500,0.755463
0.000900,0.499013,-0.188599,0.393066
0.000950,0.438153,-0.038452,-0.045013
0.001000,0.293893,0.118408,-0.437317
0.001050,0.093691,0.270996,-0.797424
0.001100,-0.124345,0.366211,-0.974884
0.001150,-0.318712,0.388184,-0.987091
0.001200,-0.452414,0.344849,-0.786591
0.001250,-0.500000,0.230103,-0.424957
0.001300,-0.452414,0.087280,-0.026703
0.001350,-0.318712,-0.087280,0.392609
0.001400,-0.124345,-0.236206,0.718842
0.001450,0.093691,-0.336914,0.972595
0.001500,0.293893,-0.371704,1.035461
0.001550,0.438153,-0.339355,0.851135
0.001600,0.499013,-0.237427,0.508118
0.001650,0.464888,-0.083618,0.069427
0.001700,0.342274,0.075684,-0.334473
0.001750,0.154508,0.234375,-0.717773
0.001800,-0.062667,0.340576,-0.959930
0.001850,-0.267913,0.388794,-1.009979
0.001900,-0.422164,0.363770,-0.846100
0.001950,-0.496057,0.266113,-0.523224
0.002000,-0.475528,0.129395,-0.139771
0.002050,-0.364484,-0.039062,0.283051
0.002100,-0.184062,-0.191040,0.629578
0.002150,0.031395,-0.313721,0.919037
0.002200,0.240877,-0.370483,1.014252
0.002250,0.404508,-0.357056,0.919647
0.002300,0.491144,-0.275879,0.644226
0.002350,0.484292,-0.133057,0.214081
0.002400,0.385257,0.022583,-0.208130
0.002450,0.212890,0.192261,-0.597076
0.002500,0.000000,0.310669,-0.920563
0.002550,-0.212890,0.383301,-1.023254
0.002600,-0.385257,0.379639,-0.918274
0.002650,-0.484292,0.298462,-0.632324
0.002700,-0.491144,0.175781,-0.255432
0.002750,-0.404508,0.006714,0.139313
0.002800,-0.240877,-0.147095,0.541077
0.002850,-0.031395,-0.283813,0.858612
0.002900,0.184062,-0.357056,0.998535
0.002950,0.364484,-0.364990,0.977173
0.003000,0.475528,-0.308228,0.747528
0.003050,0.496057,-0.174561,0.337219
0.003100,0.422164,-0.024414,-0.086060
