t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.006714,0.002899
0.000050,0.018822,0.005493,0.006256
0.000100,0.037476,0.006714,0.018311
0.000150,0.055798,0.006104,0.048065
0.000200,0.073625,0.009155,0.067902
0.000250,0.090798,0.015259,0.066681
0.000300,0.107165,0.028076,0.050812
0.000350,0.122581,0.042114,0.033264
0.000400,0.136909,0.060425,0.010071
0.000450,0.150022,0.073853,-0.004120
0.000500,0.161803,0.093994,-0.004272
0.000550,0.172148,0.107422,-0.003815
0.000600,0.180965,0.121460,0.000610
0.000650,0.188176,0.131836,0.003815
0.000700,0.193717,0.145874,0.000763
0.000750,0.197538,0.156250,-0.007935
0.000800,0.199605,0.166626,-0.010834
0.000850,0.199901,0.177612,-0.011902
0.000900,0.198423,0.184326,-0.012970
0.000950,0.195183,0.189209,-0.011292
0.001000,0.190211,0.191650,-0.010986
0.001050,0.183551,0.197144,-0.009918
0.001100,0.175261,0.197754,-0.012360
0.001150,0.165416,0.194702,-0.014801
0.001200,0.154103,0.192871,-0.014801
0.001250,0.141421,0.188599,-0.012970
0.001300,0.127485,0.183105,-0.013428
0.001350,0.112417,0.173340,-0.009460
0.001400,0.096351,0.167236,-0.014648
0.001450,0.079430,0.154419,-0.014191
0.001500,0.061803,0.140991,-0.014343
0.001550,0.043629,0.131226,-0.012054
0.001600,0.025067,0.117798,-0.007782
0.001650,0.006282,0.104370,-0.008087
0.001700,-0.012558,0.085449,-0.004120
0.001750,-0.031287,0.070801,-0.005493
0.001800,-0.049738,0.052490,-0.007019
0.001850,-0.067748,0.034790,-0.002289
0.001900,-0.085156,0.017700,-0.000610
0.001950,-0.101808,0.000000,0.003662
0.002000,-0.117557,-0.017700,0.003510
0.002050,-0.132262,-0.039062,0.003052
0.002100,-0.145794,-0.051270,0.005951
0.002150,-0.158031,-0.071411,0.008240
0.002200,-0.168866,-0.083008,0.007324
0.002250,-0.178201,-0.100098,0.011597
0.002300,-0.185955,-0.114746,0.015564
0.002350,-0.192059,-0.128174,0.015717
0.002400,-0.196457,-0.142212,0.015106
0.002450,-0.199112,-0.150757,0.017090
0.002500,-0.200000,-0.161133,0.016937
0.002550,-0.199112,-0.169067,0.019531
0.002600,-0.196457,-0.173340,0.020447
0.002650,-0.192059,-0.180054,0.023804
0.002700,-0.185955,-0.182495,0.022278
0.002750,-0.178201,-0.184326,0.019379
0.002800,-0.168866,-0.181885,0.023499
0.002850,-0.158031,-0.178833,0.025330
0.002900,-0.145794,-0.176392,0.022736
0.002950,-0.132262,-0.168457,0.026703
0.003000,-0.117557,-0.164795,0.022430
0.003050,-0.101808,-0.155640,0.021515
0.003100,-0.085156,-0.147095,0.016785
0.003150,-0.067748,-0.133057,0.020447
0.003200,-0.049738,-0.124512,0.022278
0.003250,-0.031287,-0.106812,0.018921
0.003300,-0.012558,-0.092163,0.020447
0.003350,0.006282,-0.078125,0.016632
0.003400,0.025067,-0.059814,0.010834
0.003450,0.043629,-0.042725,0.011749
0.003500,0.061803,-0.026855,0.010376
0.003550,0.079430,-0.007324,0.010681
0.003600,0.096351,0.009155,0.006256
0.003650,0.112417,0.028076,0.003357
0.003700,0.127485,0.046387,0.004883
0.003750,0.141421,0.064087,0.002441
0.003800,0.154103,0.079346,0.004578
0.003850,0.165416,0.096436,0.001221
0.003900,0.175261,0.109253,-0.003967
0.003950,0.183551,0.126343,-0.005493
0.004000,0.190211,0.137939,-0.005951
0.004050,0.195183,0.152588,-0.001984
0.004100,0.198423,0.162354,-0.006561
0.004150,0.199901,0.170898,-0.008392
0.004200,0.199605,0.177612,-0.010986
0.004250,0.197538,0.185547,-0.013580
0.004300,0.193717,0.191650,-0.015411
0.004350,0.188176,0.193481,-0.012360
0.004400,0.180965,0.197754,-0.011444
0.004450,0.172148,0.195312,-0.009613
0.004500,0.161803,0.193481,-0.015564
0.004550,0.150022,0.189819,-0.012817
0.004600,0.136909,0.187378,-0.013885
0.004650,0.122581,0.178223,-0.013885
0.004700,0.107165,0.172729,-0.014343
0.004750,0.090798,0.160522,-0.013123
0.004800,0.073625,0.153198,-0.016022
0.004850,0.055798,0.139160,-0.010986
0.004900,0.037476,0.122070,-0.002594
0.004950,0.018822,0.108032,-0.004272
0.005000,0.000000,0.095825,-0.008850
0.005050,-0.018822,0.081177,-0.009613
0.005100,-0.037476,0.062256,-0.007172
0.005150,-0.055798,0.046387,-0.005188
0.005200,-0.073625,0.027466,-0.001373
0.005250,-0.090798,0.010376,0.002289
0.005300,-0.107165,-0.006714,0.006409
0.005350,-0.122581,-0.026245,0.006866
0.005400,-0.136909,-0.044556,0.007782
0.005450,-0.150022,-0.059204,0.007935
0.005500,-0.161803,-0.076904,0.003357
0.005550,-0.172148,-0.094604,0.008698
0.005600,-0.180965,-0.105591,0.010223
0.005650,-0.188176,-0.120850,0.014496
0.005700,-0.193717,-0.132446,0.018158
0.005750,-0.197538,-0.145264,0.015259
0.005800,-0.199605,-0.155029,0.019226
0.005850,-0.199901,-0.163574,0.020905
0.005900,-0.198423,-0.170288,0.020142
0.005950,-0.195183,-0.177002,0.020905
0.006000,-0.190211,-0.178833,0.020905
0.006050,-0.183551,-0.184326,0.023346
0.006100,-0.175261,-0.183105,0.025177
0.006150,-0.165416,-0.181274,0.023956
0.006200,-0.154103,-0.181885,0.022583
0.006250,-0.141421,-0.176392,0.023193
0.006300,-0.127485,-0.169678,0.023193
0.006350,-0.112417,-0.159302,0.023193
0.006400,-0.096351,-0.154419,0.026245
0.006450,-0.079430,-0.142212,0.021667
0.006500,-0.061803,-0.130005,0.017548
0.006550,-0.043629,-0.115967,0.017395
0.006600,-0.025067,-0.102539,0.016479
0.006650,-0.006282,-0.086670,0.016174
0.006700,0.012558,-0.070190,0.016479
0.006750,0.031287,-0.057373,0.016022
0.006800,0.049738,-0.037842,0.015411
0.006850,0.067748,-0.022583,0.007782
0.006900,0.085156,-0.002441,0.005646
0.006950,0.101808,0.014038,0.005188
0.007000,0.117557,0.034180,0.003052
