t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.007324,0.003204
0.000050,0.085156,0.008545,0.006104
0.000100,0.154103,0.006104,0.075684
0.000150,0.193717,0.008545,0.175934
0.000200,0.196457,0.022583,0.223236
0.000250,0.161803,0.043945,0.149536
0.000300,0.096351,0.086060,-0.035553
0.000350,0.012558,0.123901,-0.224457
0.000400,-0.073625,0.151978,-0.369720
0.000450,-0.145794,0.156860,-0.395966
0.000500,-0.190211,0.131836,-0.311890
0.000550,-0.198423,0.085449,-0.162048
0.000600,-0.168866,0.016479,0.046844
0.000650,-0.107165,-0.045776,0.221100
0.000700,-0.025067,-0.108643,0.364685
0.000750,0.061803,-0.142822,0.428314
0.000800,0.136909,-0.146484,0.401001
0.000850,0.185955,-0.123901,0.306244
0.000900,0.199605,-0.070801,0.144653
0.000950,0.175261,-0.007935,-0.027161
0.001000,0.117557,0.062866,-0.190735
0.001050,0.037476,0.116577,-0.333862
0.001100,-0.049738,0.155029,-0.398407
0.001150,-0.127485,0.162964,-0.381012
0.001200,-0.180965,0.139160,-0.311890
0.001250,-0.200000,0.097656,-0.174408
0.001300,-0.180965,0.031738,0.006256
0.001350,-0.127485,-0.032959,0.171661
0.001400,-0.049738,-0.091553,0.314026
0.001450,0.037476,-0.134888,0.404816
0.001500,0.117557,-0.146484,0.412292
0.001550,0.175261,-0.134277,0.347748
0.001600,0.199605,-0.086060,0.201263
0.001650,0.185955,-0.029907,0.030518
0.001700,0.136909,0.040283,-0.141602
0.001750,0.061803,0.101318,-0.301208
0.001800,-0.025067,0.146484,-0.387115
0.001850,-0.107165,0.163574,-0.402832
0.001900,-0.168866,0.150146,-0.344086
0.001950,-0.198423,0.110474,-0.212860
0.002000,-0.190211,0.048828,-0.053558
0.002050,-0.145794,-0.015869,0.128174
0.002100,-0.073625,-0.079346,0.279694
0.002150,0.012558,-0.126343,0.386658
0.002200,0.096351,-0.148926,0.414429
0.002250,0.161803,-0.143433,0.376587
0.002300,0.196457,-0.106812,0.255737
0.002350,0.193717,-0.050049,0.083923
0.002400,0.154103,0.021362,-0.091095
0.002450,0.085156,0.086670,-0.261993
0.002500,0.000000,0.136108,-0.363617
0.002550,-0.085156,0.159302,-0.409088
0.002600,-0.154103,0.157471,-0.369263
0.002650,-0.193717,0.125732,-0.259094
0.002700,-0.196457,0.067749,-0.102844
0.002750,-0.161803,0.004883,0.075531
0.002800,-0.096351,-0.059814,0.233002
0.002850,-0.012558,-0.116577,0.366821
0.002900,0.073625,-0.146484,0.414429
0.002950,0.145794,-0.147095,0.394287
0.003000,0.190211,-0.116577,0.297241
0.003050,0.198423,-0.066528,0.138397
0.003100,0.168866,-0.001221,-0.035400
0.003150,0.107165,0.067139,-0.216980
0.003200,0.025067,0.123901,-0.342560
0.003250,-0.061803,0.158081,-0.412292
0.003300,-0.136909,0.162964,-0.401459
0.003350,-0.185955,0.139160,-0.298615
0.003400,-0.199605,0.087891,-0.149078
0.003450,-0.175261,0.023193,0.039215
0.003500,-0.117557,-0.048218,0.203247
0.003550,-0.037476,-0.105591,0.339966
0.003600,0.049738,-0.141602,0.403137
0.003650,0.127485,-0.149536,0.404053
0.003700,0.180965,-0.130615,0.325317
0.003750,0.200000,-0.082397,0.181732
0.003800,0.180965,-0.023193,0.018158
0.003850,0.127485,0.047607,-0.170746
0.003900,0.049738,0.106812,-0.309143
0.003950,-0.037476,0.150757,-0.401611
0.004000,-0.117557,0.165405,-0.411682
0.004050,-0.175261,0.145874,-0.331421
0.004100,-0.199605,0.103760,-0.191650
0.004150,-0.185955,0.042114,-0.016785
0.004200,-0.136909,-0.025635,0.149078
0.004250,-0.061803,-0.087891,0.303192
0.004300,0.025067,-0.130005,0.398254
0.004350,0.107165,-0.149536,0.413361
0.004400,0.168866,-0.138550,0.354309
