t (s),u (deg),y (deg),current (A)
0.006450,-0.145794,-0.170288,0.084381
0.006500,-0.117557,-0.173340,0.086060
0.006550,-0.085156,-0.174561,0.090485
0.006600,-0.049738,-0.163574,0.086670
0.006650,-0.012558,-0.148315,0.071716
0.006700,0.025067,-0.130005,0.065002
0.006750,0.061803,-0.102539,0.059662
0.006800,0.096351,-0.073242,0.044556
0.006850,0.127485,-0.042114,0.029602
0.006900,0.154103,-0.006714,0.006409
0.006950,0.175261,0.024414,-0.012360
0.007000,0.190211,0.062866,-0.024109
0.007050,0.198423,0.090942,-0.037231
0.007100,0.199605,0.122681,-0.047455
0.007150,0.193717,0.144653,-0.059814
0.007200,0.180965,0.166016,-0.068054
0.007250,0.161803,0.177612,-0.077209
0.007300,0.136909,0.186768,-0.077820
0.007350,0.107165,0.191040,-0.081482
0.007400,0.073625,0.183716,-0.072479
0.007450,0.037476,0.170898,-0.066528
0.007500,0.000000,0.156860,-0.063629
0.007550,-0.037476,0.131836,-0.059204
0.007600,-0.073625,0.104980,-0.043335
0.007650,-0.107165,0.078125,-0.024719
0.007700,-0.136909,0.044556,-0.012360
0.007750,-0.161803,0.010376,0.002289
0.007800,-0.180965,-0.025635,0.022583
0.007850,-0.193717,-0.057983,0.038452
0.007900,-0.199605,-0.092163,0.053101
0.007950,-0.198423,-0.115967,0.061340
0.008000,-0.190211,-0.142212,0.074158
0.008050,-0.175261,-0.157471,0.079041
0.008100,-0.154103,-0.170898,0.084534
0.008150,-0.127485,-0.175781,0.087585
0.008200,-0.096351,-0.177002,0.091705
0.008250,-0.061803,-0.167236,0.087280
0.008300,-0.025067,-0.153198,0.077972
0.008350,0.012558,-0.137329,0.069733
0.008400,0.049738,-0.110474,0.059204
0.008450,0.085156,-0.083618,0.047760
0.008500,0.117557,-0.050659,0.030518
0.008550,0.145794,-0.018921,0.016785
0.008600,0.168866,0.016479,-0.003662
0.008650,0.185955,0.050049,-0.018158
0.008700,0.196457,0.083008,-0.032196
0.008750,0.200000,0.112915,-0.045624
0.008800,0.196457,0.139160,-0.060883
0.008850,0.185955,0.163574,-0.067596
0.008900,0.168866,0.178223,-0.074615
0.008950,0.145794,0.184326,-0.074463
0.009000,0.117557,0.189819,-0.073700
0.009050,0.085156,0.184937,-0.077209
0.009100,0.049738,0.175171,-0.074921
0.009150,0.012558,0.162354,-0.072174
0.009200,-0.025067,0.141602,-0.059662
0.009250,-0.061803,0.115967,-0.044708
0.009300,-0.096351,0.085449,-0.030060
0.009350,-0.127485,0.054932,-0.015411
0.009400,-0.154103,0.017700,0.001678
0.009450,-0.175261,-0.014038,0.016785
0.009500,-0.190211,-0.047607,0.028229
0.009550,-0.198423,-0.079346,0.044556
0.009600,-0.199605,-0.106201,0.058441
0.009650,-0.193717,-0.135498,0.068970
0.009700,-0.180965,-0.151978,0.078125
0.009750,-0.161803,-0.168457,0.085449
0.009800,-0.136909,-0.173950,0.091095
0.009850,-0.107165,-0.177002,0.093689
0.009900,-0.073625,-0.170898,0.085907
0.009950,-0.037476,-0.158691,0.079346
0.010000,-0.000000,-0.142822,0.072479
0.010050,0.037476,-0.120850,0.063629
0.010100,0.073625,-0.090942,0.054626
0.010150,0.107165,-0.062256,0.035095
0.010200,0.136909,-0.027466,0.015564
0.010250,0.161803,0.001831,0.005646
0.010300,0.180965,0.039062,-0.010834
0.010350,0.193717,0.073242,-0.028839
0.010400,0.199605,0.102539,-0.041962
0.010450,0.198423,0.133057,-0.054779
0.010500,0.190211,0.151367,-0.063324
0.010550,0.175261,0.170898,-0.070038
0.010600,0.154103,0.184326,-0.075226
0.010650,0.127485,0.189209,-0.079651
0.010700,0.096351,0.191650,-0.078888
0.010750,0.061803,0.181885,-0.079498
0.010800,0.025067,0.169067,-0.070953
0.010850,-0.012558,0.151367,-0.062714
0.010900,-0.049738,0.125122,-0.044403
0.010950,-0.085156,0.097656,-0.033722
0.011000,-0.117557,0.065918,-0.018768
0.011050,-0.145794,0.030518,-0.009155
0.011100,-0.168866,0.000000,0.004730
0.011150,-0.185955,-0.038452,0.024872
0.011200,-0.196457,-0.064087,0.042267
0.011250,-0.200000,-0.100098,0.057983
0.011300,-0.196457,-0.125122,0.070648
0.011350,-0.185955,-0.144653,0.077057
0.011400,-0.168866,-0.164795,0.079346
0.011450,-0.145794,-0.171509,0.083771
0.011500,-0.117557,-0.178223,0.090790
0.011550,-0.085156,-0.173950,0.086975
0.011600,-0.049738,-0.164185,0.085602
0.011650,-0.012558,-0.150146,0.079803
0.011700,0.025067,-0.128174,0.066376
0.011750,0.061803,-0.101318,0.052338
0.011800,0.096351,-0.076294,0.045929
0.011850,0.127485,-0.039673,0.025177
0.011900,0.154103,-0.010376,0.007629
0.011950,0.175261,0.028687,-0.008850
0.012000,0.190211,0.060425,-0.020142
0.012050,0.198423,0.092163,-0.033569
0.012100,0.199605,0.121460,-0.050812
0.012150,0.193717,0.147095,-0.064697
0.012200,0.180965,0.164795,-0.069580
0.012250,0.161803,0.181274,-0.076141
0.012300,0.136909,0.187988,-0.081024
0.012350,0.107165,0.187988,-0.077362
0.012400,0.073625,0.186768,-0.075989
0.012450,0.037476,0.170898,-0.069580
0.012500,-0.000000,0.156860,-0.064545
0.012550,-0.037476,0.135498,-0.057220
0.012600,-0.073625,0.106812,-0.042114
0.012650,-0.107165,0.074463,-0.024872
0.012700,-0.136909,0.042725,-0.010834
0.012750,-0.161803,0.005493,0.005341
0.012800,-0.180965,-0.023193,0.019836
0.012850,-0.193717,-0.060425,0.032654
0.012900,-0.199605,-0.087280,0.051117
0.012950,-0.198423,-0.117798,0.065460
0.013000,-0.190211,-0.139771,0.074615
0.013050,-0.175261,-0.156250,0.085144
0.013100,-0.154103,-0.172729,0.086975
0.013150,-0.127485,-0.175781,0.086670
